gene_symbol,selected_probe_count,probe_ids,probe_types,max_abs_fold_change,mean_abs_fold_change,direction_consistency,notes
REXO2,4,11751359_a_at | 11751360_x_at | 11746951_a_at | 11717517_s_at,_a_at | _x_at | _a_at | _s_at,1.6743,1.5654,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
C9orf40,2,11725148_at | 11725149_at,_at | _at,1.6696,1.5124,consistent,
TPM1,2,11761349_x_at | 11745803_x_at,_x_at | _x_at,1.6696,1.6506,consistent,contains _x_at probe (cross-hybridising — interpret with care)
MPEG1,1,11721347_a_at,_a_at,1.6695,1.6695,single,
SPTB,2,11729971_at | 11729970_a_at,_at | _a_at,1.6657,1.5716,consistent,
HPS1,1,11727901_a_at,_a_at,1.6638,1.6638,single,
EPB41,1,11739122_a_at,_a_at,1.6586,1.6586,single,
TSPAN5,1,11759404_at,_at,1.6489,1.6489,single,
IL13RA1,1,11727905_a_at,_a_at,1.6465,1.6465,single,
SMOX,1,11741507_a_at,_a_at,1.6366,1.6366,single,
TCP11L2,1,11737373_at,_at,1.6354,1.6354,single,
CITED2,1,11753421_a_at,_a_at,1.6341,1.6341,single,
ELL2,1,11736478_a_at,_a_at,1.633,1.633,single,
SLC6A10P /// SLC6A10PB /// SLC6A8,1,11730162_s_at,_s_at,1.6298,1.6298,single,
SLC1A5,2,11716866_x_at | 11716865_a_at,_x_at | _a_at,1.6273,1.5456,consistent,contains _x_at probe (cross-hybridising — interpret with care)
STOM,5,11715792_a_at | 11720604_x_at | 11720603_a_at | 11749061_x_at | 11749252_a_at,_a_at | _x_at | _a_at | _x_at | _a_at,1.627,1.342,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
GSPT1,2,11742750_a_at | 11718223_a_at,_a_at | _a_at,1.6243,1.5712,consistent,
CACNA2D3,1,11730501_a_at,_a_at,1.6132,1.6132,single,
RNF14,2,11719392_a_at | 11748139_a_at,_a_at | _a_at,1.6043,1.4342,consistent,
CXCR2,3,11731424_x_at | 11731423_at | 11731425_at,_x_at | _at | _at,1.6038,1.5431,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
EPB42,1,11725009_a_at,_a_at,1.588,1.588,single,
GMPR,1,11720202_at,_at,1.5856,1.5856,single,
EPB41L3,2,11727143_x_at | 11727141_s_at,_x_at | _s_at,1.5818,1.5425,consistent,contains _x_at probe (cross-hybridising — interpret with care)
FRY,1,11726384_at,_at,1.5816,1.5816,single,
YPEL4,1,11755945_a_at,_a_at,1.5806,1.5806,single,
MSI2,2,11733375_a_at | 11746497_a_at,_a_at | _a_at,1.5805,1.5075,consistent,
CPPED1,5,11739989_a_at | 11733801_s_at | 11751164_a_at | 11733803_x_at | 11733802_a_at,_a_at | _s_at | _a_at | _x_at | _a_at,1.5776,1.4778,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
HMBS,1,11720884_a_at,_a_at,1.5747,1.5747,single,
AP2B1,1,11716262_a_at,_a_at,1.5696,1.5696,single,
C7orf73,1,11733035_at,_at,1.5671,1.5671,single,
ALAS2,3,11758412_s_at | 11734745_a_at | 11738208_a_at,_s_at | _a_at | _a_at,1.5643,1.4231,consistent,3 probes selected — high representation
FAM104B,1,11754221_s_at,_s_at,1.562,1.562,single,
ADGRE3,1,11750862_a_at,_a_at,1.5619,1.5619,single,
NSUN3,1,11743928_at,_at,1.5538,1.5538,single,
CD300E,1,11759127_at,_at,1.5447,1.5447,single,
ELOVL6,2,11743451_s_at | 11739910_a_at,_s_at | _a_at,1.5432,1.5176,consistent,
RPIA,2,11744116_s_at | 11744115_a_at,_s_at | _a_at,1.5427,1.4602,consistent,
GCLC,3,11729218_a_at | 11754931_a_at | 11750770_a_at,_a_at | _a_at | _a_at,1.5407,1.4354,consistent,3 probes selected — high representation
DUSP6,1,11744618_a_at,_a_at,1.5351,1.5351,single,
SMIM5,2,11754382_a_at | 11755705_a_at,_a_at | _a_at,1.5345,1.5154,consistent,
SGK1,3,11715931_s_at | 11737750_s_at | 11733698_s_at,_s_at | _s_at | _s_at,1.53,1.4856,consistent,3 probes selected — high representation
IGF2BP2,1,11757763_s_at,_s_at,1.5265,1.5265,single,
RAB2B,1,11744458_a_at,_a_at,1.5228,1.5228,single,
ST20,1,11744313_a_at,_a_at,1.5213,1.5213,single,
RAB11FIP1,1,11736783_s_at,_s_at,1.5124,1.5124,single,
PCGF5,1,11748523_a_at,_a_at,1.509,1.509,single,
RAD23A,3,11748360_s_at | 11757537_x_at | 11716020_s_at,_s_at | _x_at | _s_at,1.5083,1.4197,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
MPP1,5,11746893_a_at | 11752958_a_at | 11746894_x_at | 11745504_a_at | 11722558_x_at,_a_at | _a_at | _x_at | _a_at | _x_at,1.5079,1.3154,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
TCF3,2,11755059_s_at | 11755060_x_at,_s_at | _x_at,1.5079,1.3594,consistent,contains _x_at probe (cross-hybridising — interpret with care)
PSMF1,1,11759400_at,_at,1.5068,1.5068,single,
TPGS2,2,11744919_a_at | 11716754_a_at,_a_at | _a_at,1.506,1.4644,consistent,
TNS1,1,11716556_a_at,_a_at,1.5054,1.5054,single,
MOB1B,1,11753207_a_at,_a_at,1.5046,1.5046,single,
DMTN,1,11741343_a_at,_a_at,1.5023,1.5023,single,
DPEP2,1,11724979_a_at,_a_at,1.5019,1.5019,single,
DOCK5,1,11759205_a_at,_a_at,1.4918,1.4918,single,
TMCC3,2,11728840_at | 11728838_a_at,_at | _a_at,1.4759,1.4552,consistent,
EIF2AK1,1,11754188_s_at,_s_at,1.4758,1.4758,single,
CXCR1,1,11733003_a_at,_a_at,1.4751,1.4751,single,
CD93,2,11757638_s_at | 11718319_at,_s_at | _at,1.4726,1.4562,consistent,
CST3,1,11715358_x_at,_x_at,1.469,1.469,single,contains _x_at probe (cross-hybridising — interpret with care)
RBM38,1,11715594_a_at,_a_at,1.4686,1.4686,single,
RGS2,1,11715757_a_at,_a_at,1.4678,1.4678,single,
RFESD,1,11735412_a_at,_a_at,1.4645,1.4645,single,
NRBF2,4,11718370_a_at | 11718372_x_at | 11718371_s_at | 11751130_s_at,_a_at | _x_at | _s_at | _s_at,1.4624,1.3306,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
SRRD,2,11726407_at | 11757441_s_at,_at | _s_at,1.4621,1.4361,consistent,
PID1,1,11721983_a_at,_a_at,1.4583,1.4583,single,
TRIM10,2,11758611_s_at | 11734345_a_at,_s_at | _a_at,1.4578,1.3472,consistent,
SLC45A4,2,11759568_at | 11754218_a_at,_at | _a_at,1.4576,1.4302,consistent,
PIM1,2,11717258_a_at | 11746350_a_at,_a_at | _a_at,1.455,1.4041,consistent,
C20orf194 /// UBE2F /// UBE2F-SCLY,1,11754036_s_at,_s_at,1.4515,1.4515,single,
PILRA,2,11728423_a_at | 11734529_x_at,_a_at | _x_at,1.4495,1.4377,consistent,contains _x_at probe (cross-hybridising — interpret with care)
F2RL1,1,11728828_at,_at,1.4454,1.4454,single,
PNP,1,11718400_a_at,_a_at,1.442,1.442,single,
BCL2L1,2,11739957_a_at | 11739958_x_at,_a_at | _x_at,1.4413,1.3604,consistent,contains _x_at probe (cross-hybridising — interpret with care)
FAM104A,1,11730203_s_at,_s_at,1.4361,1.4361,single,
ACP1,2,11717157_a_at | 11741528_a_at,_a_at | _a_at,1.4288,1.3643,consistent,
MYCL,1,11728523_a_at,_a_at,1.4267,1.4267,single,
GPR146,1,11724165_s_at,_s_at,1.4253,1.4253,single,
FAM174A,1,11722259_s_at,_s_at,1.425,1.425,single,
VTI1B,2,11759116_a_at | 11733837_a_at,_a_at | _a_at,1.423,1.3541,consistent,
CREG1,2,11715682_a_at | 11715681_s_at,_a_at | _s_at,1.4105,1.3983,consistent,
SIGLEC7,1,11733691_a_at,_a_at,1.4067,1.4067,single,
TNFRSF10C,1,11739342_a_at,_a_at,1.4052,1.4052,single,
SMIM24,1,11726810_s_at,_s_at,1.4033,1.4033,single,
E2F2,1,11724079_s_at,_s_at,1.3963,1.3963,single,
CMBL,1,11755947_x_at,_x_at,1.3934,1.3934,single,contains _x_at probe (cross-hybridising — interpret with care)
HIST1H1C,1,11742683_x_at,_x_at,1.3907,1.3907,single,contains _x_at probe (cross-hybridising — interpret with care)
PSME4,1,11717864_a_at,_a_at,1.3898,1.3898,single,
ARHGAP26,1,11743507_a_at,_a_at,1.387,1.387,single,
CSF2RB,1,11722725_a_at,_a_at,1.3798,1.3798,single,
POC1B,2,11738083_s_at | 11744483_x_at,_s_at | _x_at,1.3794,1.3622,consistent,contains _x_at probe (cross-hybridising — interpret with care)
CHPT1,2,11722070_a_at | 11754623_x_at,_a_at | _x_at,1.3774,1.3188,consistent,contains _x_at probe (cross-hybridising — interpret with care)
POLR1D,2,11755190_a_at | 11717199_a_at,_a_at | _a_at,1.3723,1.341,consistent,
IL6R,1,11736509_x_at,_x_at,1.3685,1.3685,single,contains _x_at probe (cross-hybridising — interpret with care)
PECAM1,2,11720644_a_at | 11757545_x_at,_a_at | _x_at,1.3617,1.3467,consistent,contains _x_at probe (cross-hybridising — interpret with care)
PI3,1,11721650_at,_at,1.3598,1.3598,single,
MYO1F,1,11726122_at,_at,1.3474,1.3474,single,
BSG,2,11754083_a_at | 11739877_x_at,_a_at | _x_at,1.339,1.3289,consistent,contains _x_at probe (cross-hybridising — interpret with care)
HDGF,5,11739002_a_at | 11737211_x_at | 11739004_x_at | 11737210_a_at | 11745877_x_at,_a_at | _x_at | _x_at | _a_at | _x_at,1.3298,1.2635,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
ST8SIA4,1,11739521_at,_at,1.3266,1.3266,single,
PTAFR,2,11732180_a_at | 11732181_x_at,_a_at | _x_at,1.3257,1.3179,consistent,contains _x_at probe (cross-hybridising — interpret with care)
ATG16L2,2,11724354_x_at | 11724353_a_at,_x_at | _a_at,1.3206,1.2839,consistent,contains _x_at probe (cross-hybridising — interpret with care)
MAP4K5,2,11724907_a_at | 11724905_a_at,_a_at | _a_at,1.3196,1.2684,consistent,
TMCC1,2,11721585_a_at | 11740096_a_at,_a_at | _a_at,1.3166,1.1731,consistent,
C9orf78,1,11721829_at,_at,1.3091,1.3091,single,
SNX3,2,11754173_a_at | 11728533_a_at,_a_at | _a_at,1.2978,1.2975,consistent,
IGF2R,1,11716129_at,_at,1.2976,1.2976,single,
YIPF6,1,11739260_a_at,_a_at,1.2973,1.2973,single,
UBE2F,3,11754037_x_at | 11739398_a_at | 11756751_x_at,_x_at | _a_at | _x_at,1.2945,1.2271,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
CECR1,1,11723882_x_at,_x_at,1.2844,1.2844,single,contains _x_at probe (cross-hybridising — interpret with care)
MPPE1,2,11736159_a_at | 11736158_x_at,_a_at | _x_at,1.2839,1.1678,consistent,contains _x_at probe (cross-hybridising — interpret with care)
RPS6KA5,1,11735610_a_at,_a_at,1.2795,1.2795,single,
NLRP1,3,11737423_a_at | 11731879_a_at | 11731880_at,_a_at | _a_at | _at,1.2655,1.1198,consistent,3 probes selected — high representation
SORL1,2,11743129_at | 11743130_a_at,_at | _a_at,1.2612,1.2456,consistent,
UROD,1,11756593_a_at,_a_at,1.2598,1.2598,single,
ZNRF1,1,11732357_s_at,_s_at,1.2511,1.2511,single,
PTPRF,1,11754235_a_at,_a_at,1.2336,1.2336,single,
ZBTB44,1,11718543_at,_at,1.233,1.233,single,
RUNX2,1,11725180_a_at,_a_at,1.2249,1.2249,single,
SNN,1,11726276_at,_at,1.2229,1.2229,single,
CYTH4,1,11726532_a_at,_a_at,1.2067,1.2067,single,
TLE3,1,11758215_s_at,_s_at,1.2043,1.2043,single,
ARHGAP25,2,11748747_a_at | 11724326_a_at,_a_at | _a_at,1.2005,1.1999,consistent,
GPR155,2,11740208_x_at | 11746456_x_at,_x_at | _x_at,1.2001,1.1781,consistent,contains _x_at probe (cross-hybridising — interpret with care)
CDC34,1,11716983_at,_at,1.1853,1.1853,single,
OPTN,1,11757341_s_at,_s_at,1.1782,1.1782,single,
NME4,1,11754486_a_at,_a_at,1.1735,1.1735,single,
RERE,1,11757808_s_at,_s_at,1.1675,1.1675,single,
LSP1,1,11723156_a_at,_a_at,1.1658,1.1658,single,
MXD4,2,11754299_a_at | 11736489_a_at,_a_at | _a_at,1.165,1.1091,consistent,
SUSD6,1,11716662_at,_at,1.1648,1.1648,single,
TMEM57,1,11744587_a_at,_a_at,1.1564,1.1564,single,
PTPRJ,1,11756011_a_at,_a_at,1.156,1.156,single,
CMAS,2,11748820_x_at | 11716699_a_at,_x_at | _a_at,1.1508,1.1501,consistent,contains _x_at probe (cross-hybridising — interpret with care)
RNASET2,2,11756479_x_at | 11716908_a_at,_x_at | _a_at,1.1396,1.1316,consistent,contains _x_at probe (cross-hybridising — interpret with care)
IFRD2,2,11755876_a_at | 11718276_x_at,_a_at | _x_at,1.1281,1.1051,consistent,contains _x_at probe (cross-hybridising — interpret with care)
ITGAL,1,11729226_x_at,_x_at,1.1245,1.1245,single,contains _x_at probe (cross-hybridising — interpret with care)
FAM117A,1,11719147_at,_at,1.1121,1.1121,single,
LOC728392 /// NLRP1,1,11744351_a_at,_a_at,1.1078,1.1078,single,
PIK3CD,1,11756532_a_at,_a_at,1.1049,1.1049,single,
BOD1L1,1,11755068_s_at,_s_at,1.0997,1.0997,single,
FBXL4,1,11728800_s_at,_s_at,1.0967,1.0967,single,
STK11,1,11735699_x_at,_x_at,1.0958,1.0958,single,contains _x_at probe (cross-hybridising — interpret with care)
TIGD3,1,11727304_at,_at,1.0663,1.0663,single,
MOB3A,1,11720493_s_at,_s_at,1.0663,1.0663,single,
ARAP1,2,11719038_a_at | 11740162_a_at,_a_at | _a_at,1.0502,1.0349,consistent,
AMPD2,2,11724224_a_at | 11745744_a_at,_a_at | _a_at,1.035,0.7962,consistent,
TYK2,1,11757379_a_at,_a_at,1.0155,1.0155,single,
CBL,1,11724807_at,_at,1.015,1.015,single,
MAST3,1,11725813_at,_at,1.0138,1.0138,single,
DYNLL1,1,11753833_a_at,_a_at,0.9628,0.9628,single,
TACC3,1,11718297_a_at,_a_at,0.9498,0.9498,single,
ARNTL,1,11741091_a_at,_a_at,0.9444,0.9444,single,
IL16,2,11746376_a_at | 11734727_a_at,_a_at | _a_at,0.9141,0.8879,consistent,
CBX7,1,11717993_at,_at,0.8982,0.8982,single,
PA2G4,1,11757850_s_at,_s_at,0.8649,0.8649,single,
ST6GAL1,1,11717721_s_at,_s_at,0.8427,0.8427,single,
ZAK,1,11719825_a_at,_a_at,0.841,0.841,single,
ZNF652,1,11719025_a_at,_a_at,0.8169,0.8169,single,
MEGF6,1,11727947_at,_at,0.8038,0.8038,single,
XPC,2,11740553_a_at | 11728207_a_at,_a_at | _a_at,0.7339,0.7269,consistent,
NAP1L4,1,11747507_x_at,_x_at,0.7067,0.7067,single,contains _x_at probe (cross-hybridising — interpret with care)
KMT2E,1,11745779_a_at,_a_at,0.6881,0.6881,single,
SYNRG,1,11745313_a_at,_a_at,0.4491,0.4491,single,
