probe_id,gene_symbol,Median_TestAUC,SD_TestAUC,abs_fold_change
11718185_a_at,FCHSD2,1.0,0.0,0.4818
11741435_s_at,GRB2,1.0,0.0802943829210325,0.8176
11720493_s_at,MOB3A,1.0,0.0,1.0663
11740162_a_at,ARAP1,1.0,0.0662538659999937,1.0196
11760963_x_at,LOC102724250 /// NBPF1,1.0,0.0641500299099584,0.8755
11730431_a_at,ZDHHC7,1.0,0.0331269329999968,0.845
11716903_a_at,TGOLN2,1.0,0.0331269329999968,0.944
11717544_a_at,POLR2A,1.0,0.0331269329999968,0.761
11724484_a_at,CSK,1.0,0.0993807989999906,0.5927
11752631_a_at,SASH3,1.0,0.152707615763617,0.6693
11744351_a_at,LOC728392 /// NLRP1,1.0,0.0482903881866862,1.1078
11721513_a_at,NDEL1,1.0,0.0165634664999984,0.7942
11748747_a_at,ARHGAP25,1.0,0.0993807989999906,1.2005
11754863_s_at,VPS37C,1.0,0.0331269329999968,0.6724
11745742_s_at,FGD3,1.0,0.0165634664999984,1.0168
11732181_x_at,PTAFR,1.0,0.1325077319999875,1.31
11718196_x_at,ATP6V0D1,1.0,0.144396953256429,0.6897
11736017_s_at,PXN,1.0,0.1129477828294585,1.0965
11723156_a_at,LSP1,1.0,0.0965807763733725,1.1658
11731426_s_at,CXCR2 /// CXCR2P1,1.0,0.1622881651867158,1.6768
11752510_x_at,PSAP,1.0,0.0496903994999953,1.0817
11722269_a_at,SASH3,1.0,0.0165634664999984,0.8832
200021_PM_at,CFL1,1.0,0.0641500299099584,0.5752
11737423_a_at,NLRP1,1.0,0.0331269329999968,0.9726
11726632_at,TRIM8,1.0,0.0662538659999937,0.9504
11722387_at,MIDN,1.0,0.0,0.8574
11725440_a_at,LPAR2,1.0,0.1159442654999891,1.1289
11723842_s_at,SNX11,1.0,0.0482903881866862,0.6155
11728989_a_at,MSL1,1.0,0.0331269329999968,1.2718
11754831_a_at,SRPK2,1.0,0.0165634664999984,0.8649
11737749_a_at,SGK1,1.0,0.0662538659999937,1.0521
11746456_x_at,GPR155,1.0,0.0,1.2001
11722270_at,SASH3,1.0,0.0993807989999906,0.8492
11718120_at,ATP6V1A,1.0,0.0523782800878923,1.0157
11718121_x_at,ATP6V1A,1.0,0.1014301032416973,0.9996
11725924_a_at,RASSF5,1.0,0.1293648088635035,0.8401
11741351_s_at,ANXA11,1.0,0.0482903881866862,1.044
11756827_a_at,RTN1,1.0,0.0331269329999968,1.2435
11727841_a_at,PRKCD,1.0,0.1325077319999875,0.9852
11720097_at,LIMD2,1.0,0.1325077319999875,0.6141
11744067_s_at,SYNGR2,1.0,0.1825741858350553,0.8149
11736575_x_at,GPR155,1.0,0.0,1.2112
11715706_x_at,MGEA5,1.0,0.0331269329999968,0.7294
11733768_x_at,LILRA2,1.0,0.1768494279453825,1.2332
11720230_at,TES,1.0,0.0828173324999921,0.5861
11740553_a_at,XPC,1.0,0.0,0.72
11755411_a_at,IKBKB,1.0,0.0165634664999984,0.4628
11736084_a_at,FAM120B,1.0,0.0165634664999984,0.6338
11755572_x_at,MAP7D1,1.0,0.1325077319999875,0.7268
11742686_a_at,FCGRT,1.0,0.0482903881866862,1.2707
11757569_a_at,NDRG3,1.0,0.0405720412966789,0.6117
11747203_x_at,CLN3,1.0,0.0202860206483394,0.5228
11732189_at,NOTCH2,1.0,0.0,1.1274
11732135_a_at,ADCK3,1.0,0.0165634664999983,0.5548
11757379_a_at,TYK2,1.0,0.0662538659999937,1.0155
11754197_x_at,FAM120B,1.0,0.0202860206483394,0.5032
11716908_a_at,RNASET2,1.0,0.0721984766282145,1.1236
11720644_a_at,PECAM1,1.0,0.0482903881866862,1.3317
11716904_s_at,TGOLN2,1.0,0.0811440825933579,0.8256
11757525_s_at,BICD2,1.0,0.0496903994999953,0.8562
11717324_at,EZH1,1.0,0.0811440825933579,0.7287
11724807_at,CBL,1.0,0.0165634664999983,1.015
11733802_a_at,CPPED1,1.0,0.0496903994999953,1.3978
11742418_a_at,SETD1B,1.0,0.0482903881866862,0.7192
11719025_a_at,ZNF652,1.0,0.0993807989999906,0.8169
11724326_a_at,ARHGAP25,1.0,0.1014301032416973,1.1993
11756746_s_at,AKIP1 /// NUAK2,1.0,0.1047565601757847,1.1032
11719038_a_at,ARAP1,1.0,0.0828173324999921,1.0502
11731879_a_at,NLRP1,1.0,0.0165634664999983,1.2655
11725813_at,MAST3,1.0,0.0993807989999906,1.0138
11722752_a_at,ELMSAN1,1.0,0.0523782800878923,0.8022
11721719_at,NAAA,1.0,0.0331269329999968,0.9878
11757904_s_at,MAST3,1.0,0.0662538659999937,0.8118
11758386_s_at,MANBA,1.0,0.0331269329999968,1.0443
11722216_a_at,GPR108,1.0,0.0721984766282145,0.5897
11753909_x_at,BANP,1.0,0.0523782800878923,0.6223
11756894_a_at,SPIN3,1.0,0.0331269329999968,0.8296
11724979_a_at,DPEP2,1.0,0.0202860206483394,1.5019
11722960_a_at,CYB561D1,1.0,0.0482903881866862,0.6449
11747785_s_at,LCP1,1.0,0.0165634664999984,0.9313
11731424_x_at,CXCR2,1.0,0.1141558148697958,1.6038
11758090_s_at,IL16,1.0,0.0496903994999953,0.569
11763266_at,FAM120B,1.0,0.0641500299099584,0.4391
11741091_a_at,ARNTL,1.0,0.0331269329999968,0.9444
11757808_s_at,RERE,1.0,0.0202860206483394,1.1675
11720380_a_at,IMPDH1,1.0,0.0641500299099584,1.0315
11752509_s_at,PSAP,1.0,0.0482903881866862,1.1325
11731437_at,MED6,1.0,0.0331269329999968,0.6541
11716765_s_at,IQGAP1,1.0,0.0331269329999969,0.9519
11723400_a_at,STK4,1.0,0.0922214785036202,0.9831
11720739_s_at,ITPKB,1.0,0.0,0.6937
11733803_x_at,CPPED1,1.0,0.0202860206483394,1.5007
11728840_at,TMCC3,1.0,0.0993807989999906,1.4759
11728972_a_at,PTPRJ,1.0,0.0662538659999937,1.1557
11723401_x_at,STK4,1.0,0.0922214785036202,0.9563
11717208_at,RXRB,1.0,0.0202860206483394,0.5354
11747623_a_at,ARHGAP25,1.0,0.0,0.9497
11717752_s_at,SEC14L1,1.0,0.0202860206483394,0.8329
11756532_a_at,PIK3CD,1.0,0.0828173324999921,1.1049
11718699_at,C6orf89,1.0,0.0641500299099584,0.6733
