sample,11716876_a_at,11729582_s_at,11732236_a_at,11719581_a_at,11736395_a_at,11729583_x_at,11740680_s_at,11725497_a_at,11742143_s_at,11736538_s_at,11742315_s_at,11720494_a_at,11731448_a_at,11737280_at,11736696_a_at,11739787_a_at,11756003_x_at,11728821_a_at,11756301_x_at,11721930_a_at,11729920_at,11720807_x_at,11732235_a_at,11739340_at,11745557_x_at,11733360_x_at,11758559_s_at,11728137_at,11727808_s_at,11728138_at,11745300_a_at,11754453_s_at,11749318_a_at,11756160_x_at,11739338_at,11745299_x_at,11717871_s_at,11727807_at,11753827_x_at,11737268_s_at,11753662_x_at,11750918_a_at,11746263_a_at,11725438_a_at,11727970_a_at,11721656_s_at,11725439_at,11733482_a_at,11745661_x_at,11752881_s_at,11727969_a_at,11721029_a_at,11751870_x_at,11727161_a_at,11752701_s_at,11739339_s_at,11716467_x_at,11715752_at,11761538_x_at,11747546_a_at,11724635_at,11731446_s_at,11723952_at,11721655_at,11716466_s_at,11731452_s_at,11739230_a_at,11728669_a_at,11747125_a_at,11722470_x_at,11730499_a_at,11737267_a_at,11731454_a_at,11718997_at,11755059_s_at,11715792_a_at,11721030_a_at,11731451_at,11749176_a_at,11724538_a_at,11733941_a_at,11743067_at,11758929_at,11743068_at,11741977_a_at,11728670_a_at,11719359_a_at,11750456_s_at,11725950_s_at,11740553_a_at,11739061_at,11757303_s_at,11739937_a_at,11725951_at,11744965_x_at,11733100_at,11751970_a_at,11726179_a_at,11729757_a_at,11721931_s_at,class
GSM3507251,8.557409,8.73293,4.99403,7.00447,7.177016,10.10315,5.874669,6.427765,5.937729,5.915199,5.907681,6.458408,5.882703,7.810727,6.964293,3.802539,3.164706,4.277569,8.454957,7.217052,4.954436,1.736091,4.253155,5.92027,7.214436,6.412936,8.497303,6.5992,9.600315,4.177295,2.749471,8.656445,8.185987,6.075611,8.870037,6.292865,6.764538,4.099481,7.250937,5.155025,7.054167,4.087893,7.085751,11.27899,5.63871,7.220813,11.97214,8.048323,4.171605,5.101368,6.307517,6.184038,3.50673,5.856619,5.040342,10.01237,8.177168,9.090311,6.7175,5.626318,7.763617,7.566671,6.323502,7.888256,6.345981,7.420826,4.443777,6.797106,8.169231,5.16982,4.209336,5.011745,10.25778,9.223879,8.99577,8.637331,7.359712,5.417298,7.824893,4.569173,4.036007,7.266092,5.684701,9.045671,4.149736,5.649747,7.970653,5.023431,9.748353,5.381547,7.220876,10.14685,7.399313,9.522598,7.016248,4.43819,3.921659,2.796065,4.467706,6.878427,control
GSM3507252,8.72381,11.21623,7.868501,10.28933,10.45849,12.94683,8.663006,11.04259,8.607899,8.624262,8.725281,7.207698,9.541193,11.07417,9.96174,10.50652,9.388454,7.019146,10.01361,10.09559,8.053823,10.80675,6.73059,9.793498,11.80902,8.833643,9.340133,10.06711,11.83804,7.881823,6.994784,10.27236,10.49135,7.003067,12.02558,10.64557,8.233387,9.141988,11.92994,8.018767,11.72102,6.419081,10.37626,13.26159,7.775052,9.890251,13.13567,6.157817,6.110325,8.078774,8.742691,6.566738,6.308299,7.612829,7.976721,12.51121,10.24344,7.97577,8.509621,6.195482,10.31348,10.81097,10.96436,9.667303,8.747097,9.080871,7.853126,10.11377,10.76474,9.168177,7.441122,8.200645,10.55116,11.05697,8.357009,9.854315,7.365556,6.539103,10.54426,7.685803,5.777721,10.53915,6.31099,11.23188,7.344089,9.348122,8.176903,7.696024,11.90724,5.813973,8.789616,12.09913,6.071286,11.61464,9.65905,6.287169,7.939477,5.901105,5.239296,9.175415,control
GSM3507253,8.505177,10.62525,7.683703,9.050923,9.215179,12.6179,8.101383,7.95552,7.857437,7.919959,8.245027,8.543353,8.355137,8.522453,9.920204,8.256703,6.768762,5.780903,9.683966,10.94088,8.593866,9.37129,6.990414,8.732722,10.78942,8.51029,9.874104,9.543177,10.59702,7.49146,4.973563,10.91664,10.12173,8.12247,11.28631,9.810022,8.026222,8.108831,11.34423,7.356441,10.82662,5.321611,9.458369,13.2637,7.798507,9.114132,13.16944,8.304876,6.763692,7.364122,8.667625,5.791938,6.445415,7.044743,7.349376,11.815,10.43747,5.381186,8.626512,5.38759,9.699218,9.429187,10.7915,9.246543,8.487377,7.608871,8.142523,9.278097,9.839488,8.011215,7.325934,7.142222,9.947423,11.55839,8.961798,9.460851,6.776898,5.335942,10.01152,7.089528,6.845113,10.97457,4.89688,11.762,6.240745,8.802596,7.262987,7.650683,10.94512,5.456543,8.536992,11.17098,8.213614,10.7356,10.61714,7.078704,7.937757,4.160248,5.620123,10.20501,control
GSM3507254,8.94181,10.19644,6.749736,9.483574,9.673876,12.28693,8.149967,9.102225,7.804259,7.960407,7.973178,6.486973,8.820645,10.00545,9.331628,7.907831,6.471226,5.888033,10.52026,9.285774,7.680902,9.460186,6.096196,9.195862,10.98067,8.604115,8.410751,10.16393,10.21533,8.090366,4.864594,9.382859,10.78119,6.242247,11.75697,9.826868,7.741434,6.805356,10.99006,7.204032,10.86427,5.428741,8.606367,12.52532,7.170244,8.479558,12.67699,6.44031,5.409542,7.32614,8.171408,5.400999,5.084542,6.014651,7.168413,12.10904,9.562341,6.748736,9.329094,5.068012,8.918979,10.24361,9.095136,8.438573,7.707511,8.135298,6.377123,9.005497,9.774572,6.945753,6.646576,7.546532,10.02416,11.24856,8.636821,9.592297,6.526235,5.489078,9.599034,6.116328,5.699916,9.692738,5.058202,10.51643,6.482472,8.064796,7.342103,7.387714,10.82921,5.45153,7.720881,10.83483,5.920606,10.72028,8.586113,5.716464,7.696635,5.103454,5.322948,8.061143,control
GSM3507255,8.813538,11.09068,8.448383,9.966805,10.06115,12.8377,8.281197,10.4275,8.213202,8.264534,8.454098,7.700443,9.673346,10.77009,9.758898,9.764305,8.597828,6.627501,10.08116,8.818477,8.694458,10.57418,7.580755,9.249146,10.92176,8.890066,9.731139,10.7925,11.56892,8.708439,6.422286,10.4641,10.3425,7.247702,11.9953,9.973259,7.953624,9.079234,11.11676,7.418587,10.93524,6.04865,10.1571,13.22518,8.151865,10.25725,13.19695,5.711877,7.148755,7.543453,8.801292,7.062424,7.037364,7.138193,7.674555,12.31953,10.85988,7.366595,8.551436,6.831984,10.36423,10.73912,10.76665,9.797945,9.048178,8.773638,7.347718,9.915591,10.48953,9.561088,7.512463,6.647097,10.41978,11.45976,8.766697,10.15948,8.177645,6.061081,10.21724,7.411329,6.136942,10.21544,6.163367,10.88926,5.54091,8.948547,7.960345,7.615753,11.44467,5.549139,8.2222,11.89461,5.504714,11.29585,8.234544,6.357246,7.947094,5.98431,5.695833,7.800078,control
GSM3507256,8.28816,10.12291,7.013339,9.238316,9.389742,12.16234,7.876316,9.569218,7.847722,7.567138,7.97191,7.653397,7.860137,9.526112,8.432035,10.63106,9.436772,6.453424,9.508101,10.11183,7.321882,9.676264,6.15251,8.505514,10.48709,7.32244,8.148791,8.379808,10.2148,5.85881,6.00696,9.02731,9.71549,7.159935,10.91827,9.57889,6.866339,5.630871,10.77832,7.07843,10.49125,5.786015,8.411459,12.87688,6.267776,8.407643,12.95575,6.977432,5.934243,7.392475,7.335158,5.644972,5.628811,6.722697,7.143842,11.58035,9.074738,6.919941,8.789047,5.286108,8.545849,9.340944,10.2906,8.84846,7.050895,7.837439,7.420457,8.687426,9.639766,6.91559,6.200613,7.350005,10.30379,10.73176,8.946059,9.003298,6.923493,5.589167,9.839054,6.739162,6.178316,9.744309,6.044831,10.70767,6.140845,6.011271,8.401383,7.585339,10.70189,5.612411,8.383389,10.93291,6.479571,10.56769,9.582676,6.541262,7.087494,5.220564,6.158778,9.32137,control
GSM3507257,9.094606,11.79638,8.711367,10.66081,10.60374,13.53406,9.851624,11.00169,9.806581,9.668638,9.895985,8.057846,9.827097,11.12502,10.7488,10.60354,9.595173,7.958577,10.32081,10.47878,9.329871,10.89628,8.191077,9.683715,11.63621,10.12051,9.975142,10.73814,11.10672,8.907088,7.123353,10.61261,10.76656,7.919163,12.02408,10.51009,8.86908,7.783724,11.68828,9.282298,11.46648,7.670094,9.853762,13.53899,9.898367,10.16474,13.26157,8.237082,8.074608,9.316309,10.019,7.248124,7.671011,8.436568,9.235086,12.41823,11.13033,7.874085,9.192739,6.981048,9.980182,10.98241,11.58554,10.04998,9.608952,8.488625,8.222046,10.21699,10.6907,9.861277,7.782454,9.396277,10.33371,12.23564,9.349437,9.958666,8.058457,5.988004,10.73593,8.837404,7.124563,10.80724,6.940257,11.51811,8.445107,9.242808,8.305314,8.806211,11.69076,5.391332,8.790442,11.96056,7.628408,11.43287,10.3223,7.709541,8.800108,6.276983,6.326056,9.988756,control
GSM3507258,8.137056,6.717366,4.669218,6.938884,6.93788,8.959162,4.369011,7.708288,4.471892,5.001933,4.288306,4.066763,6.005084,7.436206,6.910491,6.673732,5.184538,4.724324,9.228693,7.62015,4.915001,1.815625,3.249679,6.366477,6.905177,6.762814,6.795306,7.528552,8.407215,4.843163,2.83062,7.550749,9.755857,4.176777,9.500135,5.843014,5.668262,4.642005,7.249216,4.363943,7.159014,3.518617,6.688575,10.24451,5.56535,6.617622,10.56869,4.355912,3.403228,3.66212,6.250932,4.452522,2.873733,4.580088,4.259893,10.23235,7.120992,4.52489,8.403318,3.888638,6.466972,8.456455,9.550803,6.881767,5.456386,5.601606,4.434642,7.231267,8.07408,5.838849,4.041211,4.329871,9.732644,7.7534,7.486996,8.122544,4.842711,3.915732,8.0581,4.027489,4.004428,8.726298,3.626865,9.78654,3.284808,6.163297,4.809197,4.422336,9.3781,5.471892,6.029165,9.531948,4.32758,8.932501,7.300267,4.297432,4.48613,3.344654,4.00131,6.979733,control
GSM3507259,8.432276,12.12613,8.281876,11.15157,11.25086,13.30907,8.666756,10.03731,8.584756,8.632675,8.74729,7.017447,10.49915,11.05992,10.48517,11.90633,10.78421,7.290894,9.886634,9.378567,8.686649,11.05218,7.055787,10.19536,11.53262,9.957262,9.953217,10.39323,12.08902,8.624088,6.516043,10.54109,9.857069,6.846053,12.35833,10.59796,8.012957,8.995209,11.92108,7.795441,11.52546,6.744178,10.71485,12.86798,9.165996,10.57808,12.78821,6.498895,6.605161,7.845303,9.908274,6.709576,6.718687,7.379609,7.958945,12.78662,10.77942,8.171928,7.93798,6.345819,10.852,11.75319,11.22937,10.18627,8.797367,9.006996,7.340028,10.58373,11.10002,9.509171,7.255967,8.35753,10.5498,11.29582,8.61369,9.866864,7.69589,6.576912,11.06331,7.857238,6.336639,10.54355,5.793322,11.09787,7.486901,10.15811,6.590853,7.928327,11.83063,5.253911,7.732476,12.39288,6.480522,11.86508,8.256903,7.183336,7.745799,5.476298,5.221161,8.371228,control
GSM3507260,8.385201,8.563044,6.641864,7.3304,7.488406,10.65219,5.643051,8.268433,5.375114,5.25628,5.36971,7.1502,9.057079,7.754519,7.393475,3.961401,3.587532,4.886573,9.556396,7.423429,7.338269,1.968502,5.498274,7.603907,8.087192,7.59465,9.197536,8.56069,10.73072,5.858877,4.428315,9.797777,9.720842,6.773058,10.57007,7.080079,6.153988,7.800306,8.276588,4.945993,7.892933,4.404465,8.448687,11.11552,6.872291,8.944586,11.43076,4.986469,5.078041,5.148617,7.278593,5.301955,5.038793,5.233253,5.103641,11.43097,8.935732,5.117413,8.368304,4.931805,10.52674,10.20401,10.23257,8.95227,6.877691,8.276917,5.669613,8.2077,9.44086,6.962659,6.970822,4.944792,10.52804,9.685889,7.907001,9.487973,6.333478,5.955099,9.289027,5.554319,5.456977,9.605021,4.25386,10.93546,4.12269,6.970604,5.913395,5.088018,10.77872,5.752664,5.512224,11.51887,4.823946,10.30424,6.763761,5.844117,5.380594,3.019,4.135571,6.837817,control
GSM3507261,7.099893,8.029869,4.387359,6.499444,6.668604,10.03589,5.360209,6.010363,5.24435,5.473756,5.399213,4.928712,5.687101,6.983402,7.3409,7.511794,6.034967,3.509724,8.277845,6.799774,5.362446,7.348971,3.53185,7.005141,7.588062,6.685648,6.660153,6.972246,8.323676,4.977634,2.271574,7.436287,8.49004,4.832705,10.07578,6.566738,5.029892,4.192734,7.618907,4.571021,7.544605,3.279409,6.495412,10.049,5.017324,6.616315,10.44819,4.677485,4.02115,4.462551,6.661079,4.019421,3.257329,4.340944,4.614196,10.97156,7.674453,4.876936,7.284286,3.663069,6.95282,8.314487,9.756516,7.110561,5.828957,5.788952,4.533816,7.112926,8.808124,5.019698,4.233841,5.19355,9.581521,8.443025,7.696577,7.868434,5.382022,4.132408,8.752531,3.94099,4.808192,7.920804,3.196881,9.312365,4.074726,6.457903,5.775822,4.989677,9.469007,5.835931,6.688838,9.780911,4.77466,10.02553,6.675753,4.650045,5.610425,2.971355,3.497988,6.717648,SONFH
GSM3507262,7.231558,5.892376,3.257445,5.256474,5.425634,7.734711,4.026553,6.203434,3.559244,4.239,3.914541,3.867742,4.648804,5.765496,6.142632,5.841602,4.391205,2.636498,7.986837,5.878298,4.652583,6.872732,2.832825,5.328384,7.151614,4.553928,6.243791,6.698895,7.274448,4.182483,2.395681,6.961617,7.82926,3.998991,8.66513,6.310062,5.05651,3.704502,7.412294,3.46384,7.091276,2.824678,5.302362,9.630836,4.578715,6.482925,10.20183,3.631875,3.407596,3.499261,4.481072,4.023734,3.033471,3.962641,3.854476,9.553343,7.160449,3.865306,6.540821,3.690748,6.322119,6.262029,6.724104,6.466915,5.46124,6.065272,4.286054,6.385266,7.016052,5.142409,3.565435,4.162182,9.431115,7.827243,7.656601,8.094494,5.192703,4.196556,6.793388,4.269567,3.12332,7.480725,3.172054,8.957064,2.835421,5.376474,5.437301,4.25332,9.041534,6.243028,5.549546,8.938047,3.751534,8.480108,6.223931,3.773918,3.820066,2.13892,3.49404,5.836786,SONFH
GSM3507263,6.745168,6.357855,3.082059,5.56743,5.853455,7.936018,4.122661,5.629105,3.986739,4.287332,4.061825,4.152143,5.185414,5.444769,5.677398,3.454026,2.629454,3.399229,7.705418,5.616245,3.45192,1.895934,2.716825,5.203594,6.10446,5.517046,6.531103,5.968571,8.152134,3.705979,2.824643,6.748917,7.653168,4.291067,8.127307,5.092534,4.419026,4.573884,6.838343,3.737396,6.471692,2.832097,6.384646,10.04505,5.064581,6.250294,10.52822,3.854002,3.014268,3.764917,5.050008,3.51237,2.687516,3.777289,3.539434,9.255469,7.280756,3.965635,6.427906,3.002632,7.101228,7.893705,6.300946,6.798756,5.625808,6.066273,4.449461,6.398892,8.304969,5.259151,3.713584,3.636684,9.388077,7.93185,6.898285,7.516609,4.76935,4.735702,7.894223,3.707321,3.776464,7.541137,3.283024,8.722626,3.105827,5.57848,5.577349,4.392688,9.54254,6.022537,5.578667,9.600719,3.835629,9.660734,5.754756,4.19321,3.153947,2.572635,3.512831,5.412763,SONFH
GSM3507264,6.483274,7.647568,5.026544,6.39904,6.654564,9.625836,6.666329,7.788359,6.652365,6.727611,6.911032,5.197101,6.22824,7.586383,6.882507,4.700214,3.634228,4.376145,7.90855,7.421181,5.798986,2.022185,3.926202,6.484187,7.847679,7.339499,7.350638,7.538866,8.958973,5.021579,2.656544,8.230638,8.088266,5.110268,9.605961,7.070482,5.5276,5.490027,8.174681,6.082832,7.916132,4.413755,7.759311,11.50926,5.931803,6.837334,11.71827,5.151707,4.045111,6.038521,7.299377,4.206302,3.361495,4.508925,6.021095,10.3921,8.08911,5.084467,6.694809,4.042003,7.22812,8.994488,8.777836,7.348248,6.176053,6.089298,4.810496,7.256656,8.288498,5.812201,5.000793,6.569242,9.518641,9.57062,7.150118,7.763128,5.228065,3.929059,8.430989,5.808706,4.339052,8.827673,4.207547,9.766851,5.600833,6.382129,5.783719,6.197459,9.214429,6.177858,6.061273,9.527493,5.065721,9.46722,7.155335,5.067632,5.967066,2.779165,4.147318,6.996398,SONFH
GSM3507265,6.69022,6.044831,3.234363,5.248614,5.390971,8.213433,3.755726,5.725797,4.083924,3.64654,3.934916,3.00006,5.156443,6.532186,5.821066,5.654072,4.450103,2.911801,7.679257,6.217379,4.14485,6.322971,2.923247,5.900751,6.782932,6.10423,6.181753,6.385235,8.697266,3.938775,2.594068,6.988961,7.804583,3.617311,8.788928,5.813671,5.19231,3.668936,7.298638,4.410234,7.17417,2.168399,6.272629,10.20067,4.817904,5.988004,10.46467,3.867306,3.429505,4.504901,6.015491,4.258123,2.961711,4.42733,4.377813,9.676819,6.722437,4.617184,6.515618,3.576445,6.50489,7.233017,7.594636,6.374416,4.878936,5.718252,3.788887,6.740816,7.097922,4.831078,3.711844,4.328242,9.058765,8.398669,6.832553,7.656853,4.921943,3.62226,7.050749,4.178473,3.659038,7.546893,3.085935,8.826236,3.431273,5.619622,5.255998,4.767316,8.793143,6.524467,5.713415,9.024328,4.011898,8.268637,6.523171,3.631249,4.200514,3.041533,3.487409,6.332925,SONFH
GSM3507266,6.770405,6.192103,4.674887,5.126319,5.295479,8.142019,4.240118,5.878715,4.014596,4.320023,3.773013,3.941891,4.951298,6.109853,5.373294,5.589186,4.293082,3.252101,7.738889,6.499221,4.731379,6.477267,3.644565,5.573771,6.973584,5.543128,6.429173,6.831191,7.499806,4.337595,2.266859,6.942388,7.901959,4.199279,8.261452,6.115742,5.38858,3.626855,7.445819,3.851331,7.156507,2.838864,5.490213,9.481943,4.497025,6.31679,9.830235,3.767206,3.63923,4.151103,5.491874,3.663292,3.457072,4.189718,3.995809,9.203415,6.76153,4.787493,6.603732,3.412809,6.614429,7.518744,7.344338,6.484526,5.166613,5.795228,3.649664,6.669032,7.605189,5.676699,4.394029,4.430918,9.041519,7.662011,7.128141,7.482216,4.99358,3.757572,7.335201,3.991444,3.553413,7.496769,3.240917,8.722363,3.367145,5.620998,5.616828,4.729488,8.711576,6.569837,5.674642,9.015715,4.070448,8.665173,6.749028,3.736283,3.995809,2.862877,3.399132,6.555203,SONFH
GSM3507267,7.08961,9.137469,6.209755,7.843822,8.175428,11.15972,7.058991,7.853909,6.8931,7.038011,7.007771,5.520383,8.500845,8.200353,8.302632,6.276664,4.93802,4.924377,8.634561,7.952275,7.2819,8.561062,5.100673,8.355974,9.283711,7.554334,8.331117,8.730539,10.75004,6.487824,3.823617,9.136403,9.141817,5.470014,10.96422,8.495777,7.503359,7.629137,9.523748,6.186172,9.460415,4.395325,9.357575,12.08802,6.368236,7.886055,12.10254,5.248832,4.822593,6.154395,7.722838,4.915416,4.553008,5.656778,6.29183,11.39962,8.954593,6.049227,7.775255,4.409453,8.592247,10.10315,8.772929,7.724577,7.033145,6.5935,4.656109,7.943203,9.58305,7.462889,5.950778,6.691175,9.64526,10.37505,7.769183,8.360476,5.881058,4.20175,9.363469,5.944217,4.90417,9.290181,4.861972,9.93066,5.773269,5.967175,6.88564,6.67476,10.07135,5.793662,7.445772,10.72429,5.210007,10.53675,7.790185,5.67825,6.401433,4.268528,4.361605,7.407784,SONFH
GSM3507268,6.38178,7.440827,4.361207,5.868097,6.018924,9.547366,5.427076,5.563437,5.285665,5.356351,5.569217,5.096158,6.185628,7.287712,6.684973,5.831266,4.689584,3.475272,7.551477,7.019749,5.38205,1.977812,3.530823,6.574796,7.491152,6.607591,7.046076,6.912841,9.101046,4.432722,2.789428,8.159339,7.970874,5.245091,9.463762,6.834987,5.558421,5.549505,8.109787,5.306379,7.811842,3.257133,7.68838,10.57001,5.705312,6.519705,10.75801,4.430971,3.565039,5.213634,6.751574,4.097118,3.168643,4.672752,5.401955,10.36011,7.511237,4.492987,6.502773,3.733361,7.118255,8.555894,8.296986,6.799577,5.640584,5.960768,4.188519,7.172446,8.036077,6.04863,4.582121,5.453307,9.214408,9.4465,7.171656,7.706694,5.034106,3.851248,7.980396,5.342678,4.621498,8.494159,4.82286,9.453569,4.495169,5.934389,5.729548,5.42877,9.267544,6.273977,6.255201,9.589771,4.594721,8.97706,6.930582,4.680728,5.568663,2.63069,3.541857,6.657516,SONFH
GSM3507269,7.000788,9.44371,4.792474,7.375178,7.546083,11.55481,6.677179,7.893944,6.602256,6.535829,6.725204,4.351716,7.617148,8.369887,7.528806,4.15519,3.463482,5.014758,7.888761,8.223253,6.314605,2.07065,4.731904,7.370718,8.760581,7.861289,7.743449,8.710194,9.625719,6.214377,2.98701,8.991003,8.317544,4.76812,10.28561,7.675254,6.225449,6.314605,8.967167,6.160717,8.647985,4.561256,8.441736,12.25891,6.83489,7.06711,12.39739,5.407345,4.363375,6.120269,8.248598,4.529419,4.187125,6.032223,6.31284,10.96831,8.593663,5.394172,6.966164,4.2881,7.608484,9.262894,10.09633,7.240997,6.550752,5.594145,4.788675,8.083078,8.747643,7.237003,5.174625,6.958321,9.199901,10.30333,7.053482,8.234425,5.583139,3.813012,8.741871,4.887571,4.641267,10.01258,4.167999,10.70337,6.048481,6.752481,5.675064,6.694994,9.357615,6.090568,6.339337,9.738704,5.277806,9.714333,7.872679,5.051064,6.452364,3.161714,4.255348,7.732047,SONFH
