sample,11721762_a_at,11722904_a_at,11727304_at,11745976_x_at,11733389_a_at,11746456_x_at,11738360_x_at,11738183_a_at,11743813_a_at,11717176_at,11719624_a_at,11739055_x_at,11722269_a_at,11731019_x_at,11747020_x_at,11722126_a_at,11739009_a_at,11754245_x_at,11730005_a_at,11736509_x_at,11730270_a_at,11731397_a_at,11744129_at,11746818_s_at,11725043_a_at,11718260_at,11743589_at,11762400_s_at,11723153_a_at,11722574_at,11758635_s_at,11723468_at,11752051_a_at,11717267_x_at,11732514_s_at,11754126_x_at,11754447_a_at,11730788_a_at,11725110_a_at,11716073_a_at,11717874_a_at,11746376_a_at,11726633_s_at,11730501_a_at,11722387_at,11737775_a_at,11722594_at,11730781_a_at,11750630_s_at,11750917_a_at,11741275_a_at,11736169_a_at,11720446_a_at,11717993_at,11727947_at,11726586_at,11724357_a_at,11739746_s_at,11734077_a_at,11728838_a_at,11719377_x_at,11717636_s_at,11743839_a_at,11720334_a_at,11719308_a_at,11719150_a_at,11733470_at,11756484_a_at,11741091_a_at,11715691_s_at,11745369_x_at,11727841_a_at,11730394_at,11743523_a_at,11724005_s_at,11755086_x_at,11752577_at,11730284_x_at,11754832_a_at,11739467_a_at,11721342_a_at,11718297_a_at,11721465_a_at,11717209_s_at,11715462_x_at,11754775_s_at,11727138_a_at,11723669_s_at,11741172_a_at,11743116_s_at,11754599_a_at,11740553_a_at,11733938_x_at,11734501_a_at,11732131_x_at,11740206_x_at,11739438_at,11756341_a_at,11716652_a_at,11731281_a_at,class
GSM3507270,9.009686,7.965898,6.178349,9.798549,8.372376,6.694572,3.267158,6.637779,11.34726,8.060669,8.276463,9.350101,8.636861,9.94518,8.114915,7.000061,10.017,10.89374,9.263501,7.246455,7.62182,9.109079,6.349591,11.24873,7.972249,7.388075,5.635812,7.204584,6.689605,7.408876,6.988911,7.077029,7.707683,6.976497,8.750306,7.526583,6.795762,10.06909,9.514868,9.875381,7.288874,8.518774,7.780388,6.282898,8.808866,6.260907,8.748969,5.527177,8.005128,6.99605,4.378704,8.315982,5.585732,8.744128,5.654659,5.332304,6.632379,6.627179,6.477149,6.173194,10.27189,9.920618,4.982509,6.015566,6.141139,5.416226,7.032587,8.030627,6.889283,11.40068,6.753818,8.79612,5.258289,7.718623,10.36247,7.481015,7.940006,4.787667,6.675035,7.426094,8.69064,7.413203,9.116607,7.854038,12.25569,11.03588,6.015342,3.777427,4.836715,9.913365,7.607187,6.369795,8.940062,6.839001,9.7431,6.866465,3.69295,7.76967,5.103996,7.107615,SONFH
GSM3507271,9.774342,8.271887,6.459041,10.92165,8.75779,7.137948,2.820698,7.345697,12.30648,8.421679,8.974757,9.808838,9.100944,10.40865,7.532647,6.994642,10.98452,11.73428,10.40896,8.102474,8.151569,9.78736,7.006537,11.44166,8.807255,8.082003,5.945639,6.991662,6.714836,7.796469,7.857409,8.375673,8.499804,7.376331,9.901896,8.029888,7.916608,11.25405,9.602512,10.93326,7.022035,8.816793,8.808721,6.345537,8.807194,5.92648,9.292843,6.589872,8.965942,7.312478,4.460347,8.499128,5.652144,8.705702,6.586893,4.792781,7.733084,7.781544,6.396982,7.955976,11.10825,10.65362,5.749832,7.109598,5.64549,5.527438,7.479623,8.095996,7.730266,12.19849,6.878256,9.972941,6.051036,8.249979,11.10382,7.965121,8.903599,5.691797,5.822322,8.744565,9.384864,8.108951,9.702857,7.893593,12.8044,12.06242,6.364195,5.21258,4.682997,11.31489,7.817441,6.70319,8.556749,7.533875,10.5856,7.487415,3.769554,8.52473,5.616398,6.9042,SONFH
GSM3507272,8.937904,7.929804,5.903865,9.884086,8.204228,5.469196,3.363715,6.681975,11.42727,7.869583,8.522387,9.367081,8.463109,9.727819,7.913803,6.910065,10.14292,10.91578,9.187587,7.235487,7.771813,9.279648,6.217617,11.23979,8.162395,7.160203,5.726909,7.059714,6.646675,7.302313,7.145487,7.066761,7.905526,6.918803,8.971563,7.327822,6.813091,10.12216,9.677666,9.853965,7.264778,8.625492,8.055514,5.436167,8.738858,5.910279,8.664217,5.471535,7.893726,7.118095,4.451982,8.230453,5.647276,8.886826,5.828406,4.998507,6.696856,6.714757,6.32267,6.266907,10.125,10.17464,4.422504,6.040893,5.885751,5.502519,7.091452,7.570724,6.935983,11.49638,6.624905,8.790495,4.663013,7.844047,10.11398,7.794221,8.058578,4.769847,6.472054,7.373922,8.788248,7.197119,9.111976,7.827971,12.29652,11.03403,6.429438,3.23128,4.450396,9.863562,7.683549,6.316238,8.891322,6.716897,9.800117,6.160557,3.575644,7.88719,4.749791,7.303866,SONFH
GSM3507273,8.928235,7.811453,6.556776,10.19675,8.240225,6.506674,3.125827,7.264668,11.75795,8.060803,8.577503,9.574697,8.734063,11.03885,8.028014,6.785925,9.873524,11.10598,9.404716,7.711267,7.510008,9.10903,6.380719,11.15491,7.919347,7.349901,5.832891,6.78042,6.328168,7.193647,6.867515,7.161431,7.538054,6.857851,9.397868,7.765871,6.606815,10.47579,9.508564,10.31014,7.411756,8.384655,8.236426,6.430944,8.84029,5.786913,8.615509,5.433316,8.1498,7.783817,4.142673,8.381206,5.180938,8.343609,5.664737,4.833987,6.79012,6.485365,6.106364,6.376041,10.41362,10.50008,5.051904,5.783212,6.291776,5.352105,7.573864,7.155779,6.719718,11.42285,6.779117,9.087517,5.60008,7.724522,10.56669,7.953863,8.710968,4.927452,6.555787,7.400372,8.810946,7.540089,9.263114,7.761486,12.28676,11.39272,6.141902,3.7822,4.459924,10.55886,7.378953,6.161215,9.059843,6.791019,9.686131,6.718239,4.026497,8.217417,4.788921,7.197017,SONFH
GSM3507274,9.168311,8.240336,6.349082,10.23811,8.522337,6.988232,3.083285,7.250606,11.71624,8.201344,8.706754,9.583731,8.272853,10.60676,8.153283,6.785877,10.57617,11.31978,9.367074,7.570744,7.902592,9.391756,6.318836,11.52383,8.369196,8.018577,5.728856,6.985318,6.501256,7.530742,7.304995,7.818242,7.919858,7.205988,9.524134,8.300951,7.186559,10.75114,9.50848,10.1589,7.180141,8.441746,8.393366,6.472602,9.32505,5.954197,8.894932,5.80231,8.497159,7.444703,4.335946,8.759224,5.599823,8.717942,6.041589,4.829961,7.283042,7.559943,6.229387,6.901221,10.69871,10.33116,4.822015,6.031932,6.198269,5.573642,6.976268,8.135667,7.472019,11.8908,6.619227,9.250466,5.878853,8.122329,10.7187,7.889462,8.502703,4.822117,6.349911,8.384879,9.267578,7.66963,9.657533,7.797114,12.37546,11.5325,5.948736,4.401935,4.473274,10.50033,7.441787,6.44034,9.021826,7.148546,10.47915,7.484236,3.705923,8.14881,4.890511,7.536783,SONFH
GSM3507275,9.070217,7.482894,5.678881,9.607574,8.404056,6.155783,3.508231,6.755129,11.59559,7.819355,8.435118,9.332456,8.815658,10.03784,8.184481,6.634738,9.649979,10.91434,9.202304,6.907715,7.525745,9.195364,5.88033,11.41804,8.098868,6.844776,5.336444,6.738361,6.53714,7.300678,6.722493,7.363224,7.343796,6.595574,8.967714,7.389696,6.366319,10.17601,9.174747,10.16648,7.299888,8.368021,7.715666,5.704293,8.56304,5.969915,8.840763,5.448207,7.839735,7.153104,4.269623,8.061074,5.097564,8.17284,5.283788,4.85792,6.71666,6.18657,5.899584,5.567528,10.41375,10.21817,4.735573,5.038947,6.558431,5.431551,6.929563,7.609903,7.16092,11.44509,6.617824,8.971203,5.58976,7.836863,10.51015,8.056363,8.406673,4.772165,6.376186,7.229437,8.557637,7.263545,8.930058,7.784929,12.45251,11.00363,6.055354,3.311578,4.256206,10.17568,7.420003,6.155024,9.198917,6.632734,9.634721,6.548173,3.819704,7.924779,5.12883,7.50687,SONFH
GSM3507276,8.810444,7.950017,6.138412,9.659834,8.024326,5.934331,3.056475,6.780729,11.44206,7.627922,8.302773,9.050047,8.267982,9.737446,7.830359,6.818199,9.825342,10.90903,9.261396,7.411234,7.722138,8.87981,5.882713,11.07645,7.549168,7.245526,5.781635,6.837396,6.398845,7.305411,7.171782,7.1181,7.633834,6.667407,9.128833,7.617549,6.599993,10.16048,9.609936,10.00803,7.433737,8.248592,7.686922,5.758162,8.450729,5.86518,8.842159,5.165489,8.108846,7.189281,4.111265,8.497769,5.331038,8.412656,5.152977,4.844333,6.709094,6.557884,5.655978,6.582932,10.26838,10.01631,4.412833,5.427711,5.916633,5.50332,7.042151,7.524058,6.868549,11.4026,6.37303,8.66863,5.365441,7.928802,10.21729,7.579797,8.30464,5.195535,6.296542,7.777386,8.859201,6.948892,9.224291,7.697975,12.25284,11.14756,5.972434,3.591696,4.934306,10.07153,7.284335,5.958004,8.903603,6.9357,9.772512,6.877406,3.975477,7.920752,4.825432,7.23063,SONFH
GSM3507277,9.182058,7.102273,6.7381,10.2019,8.303756,7.460817,3.5304,7.792323,11.76899,8.420139,8.985428,9.620162,8.739252,10.40156,8.172398,6.993829,9.998024,11.23861,9.644754,7.676103,7.973668,9.271006,6.403181,11.58475,8.199475,8.193325,5.392433,7.042151,6.660355,7.301786,7.70166,7.458388,7.541087,7.703208,9.607857,8.399759,6.645603,10.525,10.17817,10.03648,6.300488,8.534849,8.313457,5.817507,9.439338,5.916813,8.929187,5.071766,8.659988,7.587969,4.050858,8.771673,5.494938,9.02159,5.290701,4.625302,6.61309,7.532581,5.84855,7.704388,10.63367,10.65845,5.100368,6.147985,6.258809,5.421285,7.311578,8.377514,7.04548,11.66665,6.97206,9.203682,5.576926,8.383645,10.13299,7.969403,8.926304,4.800539,6.61788,7.979089,9.550472,7.84054,9.638691,8.141262,12.27876,11.40201,6.096909,3.979243,4.91103,10.55725,7.759529,6.571863,9.037139,7.435645,10.51154,7.776548,3.429169,8.149948,4.532914,7.112126,SONFH
GSM3507278,9.102161,7.094551,6.668963,9.784265,8.346383,6.46841,3.791072,6.498716,11.57996,7.948867,8.49908,9.275036,8.474018,9.789867,8.345173,6.828513,10.13185,11.06452,9.420942,7.068398,7.944149,9.038283,6.048333,11.17168,7.875599,7.597561,5.564071,7.112908,6.635548,7.281956,7.080972,7.339104,7.585984,6.867416,9.23891,7.870122,7.111186,10.07096,9.573311,10.11895,7.172258,8.631818,7.793407,5.30637,8.675641,5.950718,8.76729,5.092136,8.051607,7.087353,3.836253,8.673805,5.217009,9.068888,6.026388,5.188366,6.492729,6.664606,6.190414,5.958291,10.50208,9.984225,5.14962,5.508549,5.936204,5.221502,7.234838,7.942673,7.137883,11.48986,6.68101,8.726126,5.213685,8.240881,10.62636,7.68738,8.036572,5.292482,6.528271,7.552303,8.68279,7.344359,9.335729,7.86578,11.90566,11.31222,6.060816,3.656225,4.691399,10.34638,7.531156,6.298502,8.895658,6.913438,10.06134,7.358015,3.860952,7.884562,5.250202,7.388382,SONFH
GSM3507279,9.194748,7.886825,6.824977,10.10383,8.269558,6.710893,3.097409,6.939894,11.69065,8.197883,8.711435,9.681973,8.600807,10.04712,8.226562,6.851996,10.231,11.23316,9.550429,7.70497,7.724117,9.31446,6.235087,11.36032,8.242533,7.683248,5.754104,7.164516,6.424849,7.362881,7.462893,7.504871,7.757905,7.103605,9.668397,8.256161,7.126653,10.33891,9.743952,10.35032,7.027574,8.440131,8.017056,5.488876,9.119233,5.803543,8.819309,5.4533,8.320547,7.57972,4.185604,8.795625,5.503567,8.635784,5.826433,4.73535,7.002049,7.126094,5.911769,7.002766,10.6118,10.48277,4.492665,6.241619,5.799008,5.552985,7.157634,7.812305,7.173704,11.67154,6.749489,9.360497,5.444972,8.042238,10.60816,7.86903,8.376429,4.991331,6.59385,7.954525,9.031001,7.573206,9.433833,7.966174,12.4343,11.50665,6.008903,3.824739,4.89873,10.50943,7.396047,6.316838,8.978372,7.008932,10.2921,6.822423,4.082739,8.159619,4.916197,7.366232,SONFH
GSM3507280,9.032307,8.492783,6.792451,9.948234,8.239603,6.156839,3.313295,7.170148,11.66865,8.009933,8.570163,9.445687,7.995234,10.20981,8.029736,6.865386,9.955851,11.20233,8.933203,7.315176,7.81823,9.139187,6.031947,11.1794,8.140431,7.626872,5.900861,7.090503,6.40973,7.416966,7.189023,7.229603,7.377235,7.033837,9.209819,7.747283,6.998744,10.65813,9.922567,10.09277,7.40271,8.504589,8.091496,6.655404,8.778436,6.046119,8.668587,5.072919,8.301731,7.44813,4.191124,8.551571,5.258032,8.799274,6.536811,5.034941,6.878957,6.930266,6.065509,6.428336,10.37591,10.22851,4.858923,5.803307,6.335018,5.431178,7.146899,7.741248,7.021377,11.60557,6.536674,8.863095,5.636884,8.150284,10.33817,7.692481,8.237902,4.855726,6.275908,7.994544,8.896299,7.422511,9.300797,7.752179,12.27076,11.32743,5.956704,3.847543,4.807954,10.03781,7.480619,6.300928,8.924278,6.785292,10.0987,6.481876,3.608937,8.012249,5.1447,7.06491,SONFH
GSM3507281,8.814095,7.357769,5.211841,9.809536,8.539221,6.523037,2.827554,6.993731,11.06902,7.596174,8.569498,9.487338,8.947142,10.23253,8.147383,6.8638,10.37831,10.26593,9.560264,6.710338,7.40673,9.443182,6.472098,10.76278,8.165995,7.533906,5.797728,6.853224,6.606237,7.279285,7.206965,6.64541,7.858595,6.777184,8.917701,7.787893,6.217095,10.17692,9.279478,9.315137,6.857916,8.398505,8.008354,6.423057,9.306952,6.053337,8.731503,5.621133,8.015881,7.569739,4.175802,8.018219,5.201733,8.239435,4.885499,5.007668,6.712802,5.93957,6.794305,5.953035,10.51455,10.35196,3.429584,5.765087,5.981627,5.496402,7.392583,7.999736,6.336461,11.30043,6.596312,8.613827,4.881568,8.391208,10.1835,8.138559,8.459489,4.513599,6.436211,6.847339,9.129463,7.391747,8.666082,7.922108,12.18966,10.99915,6.194069,3.059587,4.496346,10.67097,7.745595,6.231297,9.101313,6.792345,9.383068,6.809864,3.138739,7.87552,4.422359,7.469332,SONFH
GSM3507282,8.758904,7.399973,4.88453,9.395841,8.182989,6.486468,3.138508,6.569019,11.42464,7.823341,8.250778,9.087983,8.546337,10.24145,7.909467,6.751926,9.56211,10.60322,9.067685,6.793783,7.524238,9.051896,5.76807,11.13216,7.994156,6.796875,5.257435,6.975856,6.531204,7.146532,6.676168,6.830647,7.024455,6.539263,8.499866,7.174042,6.249582,10.02902,8.927371,9.60244,6.95985,8.327198,7.577574,6.144857,8.618576,6.014583,8.615515,5.354704,7.772937,6.774029,4.159272,7.926133,5.355864,8.053735,5.372932,4.849441,6.6354,5.976041,6.151145,5.861395,10.15513,10.00352,4.558868,5.262472,6.422442,5.415679,6.970524,7.568875,6.892975,11.43688,6.641618,8.888248,5.245699,7.824884,10.34986,7.680503,8.247967,4.582759,6.390071,7.277716,8.269094,7.043904,8.796168,7.744044,12.40387,10.98982,5.884568,3.76501,4.065151,10.13061,7.438681,6.154831,8.956216,6.468984,9.260028,6.865137,3.724041,7.769417,4.996073,7.195865,SONFH
GSM3507283,9.176606,7.767158,6.066855,9.909705,8.481585,6.72514,2.657791,7.910163,12.28762,8.459708,9.096964,9.511292,8.327939,9.73443,8.124924,6.737321,9.535885,11.65339,9.592278,7.984628,7.710165,8.999866,6.215839,11.5181,8.116071,8.064221,5.801789,6.49256,6.288627,7.383117,7.321371,7.73549,7.259776,7.339034,9.809362,8.526047,6.271906,10.81891,10.00354,10.43641,7.373477,8.352205,8.662788,6.455179,9.163424,5.429233,8.740608,5.007242,8.701501,7.206583,4.381065,9.127055,5.407353,8.780335,6.104434,4.399579,6.811714,7.67874,5.277201,7.575984,10.7801,10.54855,5.79557,6.196034,6.727852,5.429641,7.393132,7.179054,7.416183,11.99834,6.818278,9.614285,5.632076,7.739997,10.60163,7.65451,9.159286,5.262298,6.460114,8.887556,9.140772,7.775612,9.757877,7.639649,12.52964,11.81703,6.450261,5.136927,4.862508,10.63861,7.433346,6.451752,8.849748,7.050395,10.40094,6.949495,3.678401,8.123395,4.816546,7.143843,SONFH
GSM3507284,8.853955,7.862756,6.146165,9.867188,8.210759,6.179018,3.099275,6.664966,11.24176,7.698226,8.34516,9.402369,8.565388,10.02896,7.719329,7.009435,10.10211,10.54968,9.327979,7.018193,7.529101,9.019035,6.251595,10.83719,7.888213,7.330039,5.774673,7.064899,6.545411,7.080253,7.233147,6.85387,7.658781,6.829643,8.49873,7.209685,6.590734,9.972525,9.422531,9.474642,7.099225,8.425276,7.854739,6.068653,8.651213,6.018044,8.689466,5.537297,7.8387,7.226999,4.272123,7.722291,5.483917,8.562546,6.124186,4.803555,6.385146,6.419765,6.771525,6.402398,10.48012,10.13513,4.600061,5.717482,5.810331,5.285567,7.358811,7.55125,6.783097,11.1688,6.619928,8.564818,5.005102,7.78773,10.28976,7.719268,8.20218,4.671118,6.09585,7.213279,8.79413,7.23905,8.887424,7.880876,11.92612,10.85676,6.096345,3.475112,4.340818,10.20709,7.545385,6.276237,8.844611,6.719023,9.653467,6.468427,3.849543,7.710923,4.854751,7.337068,SONFH
GSM3507285,9.323748,7.574048,5.969129,10.07069,8.228002,6.661548,3.110393,6.5063,12.26893,8.492614,8.911149,9.516932,8.51528,9.99642,8.313652,7.01723,10.01919,11.32369,9.831645,8.012837,8.108596,8.669266,6.013947,11.28656,7.512952,8.201855,5.683982,6.717738,6.27956,7.303085,7.560464,7.258006,7.297386,7.587238,9.829871,9.03161,6.487357,10.54925,10.83468,10.4177,7.420784,8.291904,8.251458,5.800223,9.3351,5.894435,8.588314,4.683438,8.548097,7.180814,3.973477,9.129567,5.555741,8.959119,6.171183,4.596025,6.984933,7.573735,6.306083,8.160288,10.69176,10.26696,5.926613,5.935533,6.15001,5.07579,7.213309,7.55598,7.555805,11.81296,6.88651,9.400741,5.166963,8.390549,10.79968,7.96699,8.628678,5.082494,6.260987,8.581255,9.372255,8.047096,9.815669,7.541635,12.3814,11.50672,6.126526,5.908577,4.677641,10.68276,7.357783,6.410071,8.632523,7.135056,10.11257,7.382686,3.864752,8.073203,5.121455,7.399893,SONFH
GSM3507286,8.777672,7.904905,5.477857,9.320168,7.822109,6.119856,2.802019,7.160749,11.5751,8.154338,8.381909,9.321349,8.456853,10.41301,7.849029,6.591589,9.471039,10.83472,9.143549,7.18615,7.593524,8.906453,5.665472,11.1222,7.675184,7.239399,5.312368,6.703347,6.322343,7.12118,6.839335,7.030557,7.05604,6.572601,9.1226,7.785738,6.593177,10.45901,9.510891,10.07233,7.610246,7.878318,7.689604,5.824501,8.800823,5.54973,8.67042,5.744718,8.196577,7.233287,4.292291,8.011088,5.389813,7.882482,5.064852,4.630185,6.693521,6.384384,5.451219,6.699731,10.25195,9.92314,5.05823,5.674417,6.685323,5.2312,7.277025,7.733819,6.907648,11.47149,6.593137,9.054995,5.322953,7.86364,10.35828,7.560677,8.471589,4.958861,6.328345,7.525719,8.522034,6.878589,8.889228,7.520579,12.56229,11.02427,5.735421,5.11755,4.098599,10.18107,7.318154,5.978419,8.809591,6.538343,9.123023,6.597893,3.709785,7.785089,4.666454,7.081303,SONFH
GSM3507287,9.024898,8.410953,5.719343,9.578242,8.598842,6.978195,3.864962,7.793142,11.96886,8.908252,8.983356,9.552884,8.792449,10.27106,8.572762,6.939051,9.862579,11.37165,9.906609,7.785764,7.916982,9.030195,6.233322,11.46937,8.077085,7.99047,6.101266,7.178451,6.648475,7.483379,7.081195,7.433544,7.138751,7.350203,9.783892,8.717031,6.879094,11.37875,10.07627,10.50629,7.982396,8.39925,8.488604,5.63207,9.320438,6.006074,8.789831,5.648721,8.572788,7.643318,4.307008,8.627834,5.604466,9.144821,5.762383,4.996026,7.01622,6.884257,5.9484,6.476302,10.58832,10.24189,5.706623,6.126465,6.973452,5.192383,7.185018,7.213935,7.243998,12.28326,6.924841,9.619591,5.304966,8.314779,11.09521,8.401074,8.772744,4.988883,6.685028,7.820212,9.074449,7.982527,9.34689,7.75335,12.80432,11.57934,6.23838,5.682744,4.22206,10.92357,7.715755,6.101607,8.877851,6.656376,9.913341,7.874031,3.655907,8.289108,5.078346,7.776894,SONFH
GSM3507288,9.00561,8.443478,5.319784,9.790184,8.23868,5.916078,3.090991,7.280481,11.70467,8.056722,8.509991,9.299522,8.539763,10.38235,7.992135,6.81948,9.725144,10.98715,8.995088,7.547418,7.517353,9.119139,6.071813,11.38388,8.047608,7.303735,5.409201,6.882582,6.516014,7.200316,7.002712,7.225485,7.533094,6.729212,8.703108,7.522873,6.688529,10.57903,9.285032,10.14646,7.064478,8.167573,8.00351,7.25447,8.669024,5.650636,8.874619,5.710695,8.144924,7.06583,4.30743,8.054493,5.23219,8.086128,5.453565,4.690349,7.199204,6.73479,5.738876,6.542785,10.69755,10.22448,5.335552,5.920324,6.935266,5.560194,7.169089,7.437368,6.970516,11.5138,6.576375,9.233941,5.146639,7.856212,10.28111,7.639057,8.344198,4.826741,6.436134,7.664116,8.593689,7.519277,9.07402,7.754043,12.75257,11.00633,5.257495,4.624467,4.375474,9.976116,7.673565,5.989863,8.895611,6.558196,9.70522,6.29507,3.534752,7.753049,4.885825,6.949935,SONFH
GSM3507289,8.965924,7.894531,6.273118,9.757029,8.623762,6.569323,4.476346,6.997807,11.71544,8.09936,8.710544,9.614506,8.566374,9.895033,8.77009,7.232372,9.989851,11.2636,9.606902,7.286119,7.83629,9.15888,5.997509,11.20311,8.08735,7.640235,6.190946,7.472608,6.815013,7.498022,7.240703,7.300724,7.485706,6.937405,9.029084,7.713524,6.870561,10.48702,10.04123,9.915981,7.96016,8.675594,8.067431,5.943573,8.723377,6.377123,8.96517,5.868896,8.162094,7.086658,3.709283,8.476637,5.469238,9.144396,6.318431,5.275802,6.692133,6.824775,6.96204,6.383049,10.49531,10.01191,5.058644,5.446262,5.826433,5.416269,7.22021,7.713021,7.326559,11.63118,6.923954,8.882744,5.492618,8.146161,10.73328,7.868388,8.441885,4.84691,6.548358,7.761537,8.723108,7.40548,9.319554,7.849446,12.45338,11.35657,6.353351,3.172807,4.590866,10.43569,7.710338,6.295089,9.111211,7.03576,10.1069,7.061564,3.536503,7.725332,5.342012,7.416688,SONFH
GSM3507290,8.410444,7.311626,5.351821,9.464403,7.988457,6.046496,3.138855,7.052482,11.07599,7.928662,8.294955,9.125421,8.263406,9.490138,7.744127,6.700491,9.506817,10.0642,9.083776,6.757939,7.314961,8.816109,5.759645,10.78669,7.664411,7.003403,5.579657,6.657251,6.28975,7.047942,6.619324,6.690626,6.790331,6.88676,8.859184,7.691708,6.317638,9.817631,9.386755,9.344496,7.176922,7.885137,7.42109,5.017985,8.537782,5.853022,8.278664,5.495276,7.921962,7.125563,4.442001,7.863469,5.07037,8.096689,5.232193,4.423009,6.494531,6.399939,5.625198,6.378807,9.980156,9.936961,4.143659,5.08925,5.860845,4.779594,7.418673,7.750353,6.62796,10.86972,6.380187,8.66214,4.902402,8.199648,9.619198,7.688181,7.906094,4.689742,6.283246,6.928225,8.698639,7.00227,8.786415,7.477717,12.0276,10.22653,6.086317,3.516528,4.473545,10.03755,7.39247,5.991033,8.89598,6.477127,8.828555,6.583238,3.72533,7.551478,4.540789,7.543742,SONFH
