sample,11718185_a_at,11725976_a_at,11744351_a_at,11754863_s_at,11732135_a_at,11756746_s_at,11719038_a_at,11725813_at,11720493_s_at,11740162_a_at,11720554_a_at,11731424_x_at,11757808_s_at,11724484_a_at,11747623_a_at,11725440_a_at,11721513_a_at,11726122_at,11740206_x_at,11748747_a_at,11745742_s_at,11718260_at,11726276_at,11752510_x_at,11742024_a_at,11724248_s_at,11744129_at,11717322_a_at,11720097_at,11721796_at,11757635_a_at,11756827_a_at,11754644_x_at,11757383_a_at,11721346_a_at,11723287_at,11727593_a_at,11719307_a_at,11745421_a_at,11720989_a_at,11752737_a_at,11725827_s_at,11740553_a_at,11755411_a_at,11737423_a_at,11734727_a_at,11757379_a_at,11740096_a_at,11726632_at,11724807_at,11753909_x_at,11719025_a_at,11721719_at,11757904_s_at,11760963_x_at,11730431_a_at,11732821_a_at,11724979_a_at,11742418_a_at,11732189_at,11727304_at,11724326_a_at,11716903_a_at,11717544_a_at,11758090_s_at,11763266_at,11741091_a_at,11720380_a_at,11723400_a_at,11751164_a_at,11720739_s_at,11728840_at,11728972_a_at,11723401_x_at,11747785_s_at,11727644_a_at,11723893_s_at,11741435_s_at,11730005_a_at,11730788_a_at,11733691_a_at,11719680_x_at,11728703_a_at,11736509_x_at,11736888_x_at,11716375_s_at,11732181_x_at,11718196_x_at,11746195_x_at,11756077_a_at,11719844_at,11722259_s_at,11745691_a_at,11736017_s_at,11717618_s_at,11723156_a_at,11761116_a_at,11731426_s_at,11750199_a_at,11725056_a_at,class
GSM3507270,5.445614,6.819967,8.639683,7.676656,7.420892,8.931075,8.609992,7.445159,9.243071,8.610632,9.666482,10.35483,7.809302,8.012419,8.14414,8.334193,9.132598,10.18077,6.866465,9.373006,9.591749,7.388075,8.770412,11.76135,6.501904,8.217918,6.349591,7.77459,6.618675,7.439798,11.86426,6.965727,10.93801,8.83461,7.631957,12.07342,5.691322,7.567408,8.27229,7.801587,10.60355,7.723004,6.369795,6.508508,8.436378,8.533668,9.044882,5.509202,8.070782,8.658565,8.270895,8.77367,8.651533,8.2939,8.125646,8.796455,7.903326,9.139013,8.566555,8.176414,6.178349,9.333979,8.689962,6.949744,6.402453,7.298349,6.889283,9.954191,10.6452,9.237632,8.561405,5.673182,7.119667,10.54264,11.17339,4.80072,7.511947,10.41439,9.263501,10.06909,6.493902,8.94558,4.623743,7.246455,8.611783,6.377173,9.13619,9.616132,7.68283,8.103231,10.58309,7.116828,5.830823,10.79522,10.38113,9.009613,10.01753,10.90385,8.340384,5.566462,SONFH
GSM3507271,5.983513,6.725027,9.09585,7.652927,7.409295,9.738088,9.022724,8.432955,10.41124,8.715258,9.729005,12.03253,8.948076,7.931768,8.748856,9.337109,9.96314,10.68805,7.487415,10.00059,10.67579,8.082003,9.800498,12.5622,7.182808,8.933914,7.006537,7.650638,6.974844,8.035025,12.39375,7.963656,11.28079,9.146166,8.210716,12.5803,6.089078,8.155474,8.962753,8.271719,11.3533,8.605017,6.70319,6.214789,8.701008,8.705224,9.798498,5.75521,9.177341,9.645513,8.411062,9.246973,8.765951,9.1257,8.547682,9.520963,8.910954,10.21622,9.251526,9.607207,6.459041,10.11764,9.77337,7.984115,6.512733,7.806758,7.730266,10.45889,11.1048,9.967089,9.010737,7.286195,8.037514,11.01078,11.79327,5.28573,8.773195,11.1339,10.40896,11.25405,7.151175,9.109045,6.050246,8.102474,9.178328,6.772641,9.648663,9.828512,8.305431,9.000168,11.68234,7.741433,7.591187,11.48692,11.13428,9.973333,10.99276,12.08168,8.643345,6.842471,SONFH
GSM3507272,5.349678,6.746096,8.675882,7.665523,7.21427,9.080366,8.624518,7.596931,9.393912,8.574718,9.739688,10.58535,7.817053,8.062868,8.113708,8.337949,9.198202,10.19256,6.160557,9.317199,9.673298,7.160203,9.42275,12.05979,6.664304,8.588594,6.217617,7.868946,6.775051,7.862506,11.73907,7.083915,11.42295,8.360715,7.690836,11.88048,5.748941,7.266667,8.115489,7.878186,10.03675,7.045089,6.316238,6.256822,8.364292,8.591166,9.065336,5.443027,8.210202,8.682961,8.165635,8.421309,8.832167,8.355122,8.401632,8.816862,8.154243,8.694408,8.635065,8.319874,5.903865,9.390053,8.886053,7.380358,6.683619,7.061027,6.935983,9.873676,10.63792,9.40932,8.747005,5.367541,6.683567,10.52281,11.25967,4.85272,7.521904,10.4673,9.187587,10.12216,6.369167,8.692974,4.797967,7.235487,8.478817,6.80873,9.16233,9.719643,7.966666,8.228493,10.18448,6.59738,6.00214,10.95533,10.5498,9.077186,10.11163,11.23018,8.085875,5.757558,SONFH
GSM3507273,5.342678,6.577239,8.265015,7.748703,7.24429,9.590122,8.589519,7.528411,9.747814,8.626931,9.550529,10.92926,8.35568,8.157257,8.26873,8.417062,9.40353,10.41528,6.718239,9.300138,9.738084,7.349901,9.618023,12.25789,6.612611,8.735072,6.380719,7.692935,6.602723,7.524086,12.37767,7.800115,11.52594,9.453784,8.249921,12.51913,5.541264,7.46435,8.564156,8.364341,10.37907,7.910601,6.161215,6.085477,7.929968,8.435371,8.920195,6.048589,8.297024,8.506289,8.150201,8.568593,8.716476,8.414663,8.00826,8.708322,8.038314,8.965413,8.510653,8.122936,6.556776,9.576807,8.370158,6.886929,6.617366,7.268357,6.719718,10.11937,10.68095,9.751759,8.606623,5.917801,7.568783,10.58815,11.38309,4.924839,7.618301,10.74524,9.404716,10.47579,6.856674,8.529321,5.152347,7.711267,8.338573,6.697706,9.483612,10.16146,7.355472,8.309787,10.5086,7.189528,6.127924,10.85387,10.43963,9.430227,10.0985,11.58446,8.473385,5.924823,SONFH
GSM3507274,5.205926,6.600674,8.726881,7.878326,7.152188,9.463259,9.424973,8.164824,9.808942,9.473396,9.533983,11.21255,8.029085,8.195649,8.32082,8.681448,9.825731,10.85144,7.484236,9.539416,9.92951,8.018577,9.148698,12.44691,6.774996,8.644328,6.318836,7.868036,6.650818,7.780584,12.38818,7.658561,11.72173,8.823147,7.503453,12.50208,5.660963,7.496861,8.690546,8.432453,10.36847,7.708097,6.44034,6.298367,8.253801,8.31511,9.325604,5.977592,8.690752,9.272696,8.418148,8.900109,8.791023,8.747758,8.400633,8.788437,8.51615,9.241012,8.775148,8.930871,6.349082,9.897574,9.111305,7.259549,6.707614,7.372035,7.472019,10.50212,11.04782,10.28994,8.408052,6.82394,7.84127,10.91349,11.39752,5.214925,8.273212,10.82464,9.367074,10.75114,7.004573,9.082685,5.777567,7.570744,8.497267,6.792369,9.799755,9.965273,8.081286,8.302168,10.5114,7.080959,5.74135,11.36319,10.89982,9.707759,10.38391,11.86513,8.530131,5.819425,SONFH
GSM3507275,5.18425,6.477761,8.299239,7.358551,6.835799,8.642033,8.535384,7.25208,9.271743,8.594709,9.541927,9.950172,7.578238,8.226947,8.039258,8.071869,8.89609,10.25838,6.548173,9.300787,9.37582,6.844776,8.963862,12.27105,6.193375,8.54472,5.88033,7.541742,6.522716,7.626312,12.04643,7.741358,11.2966,8.874951,7.931026,12.21625,5.636562,7.670575,8.053477,8.448688,10.28551,7.855812,6.155024,6.40387,7.940496,8.163153,8.790459,5.18506,7.835961,8.277843,7.967136,8.384138,8.721536,7.99842,7.980246,8.711563,7.766172,8.195494,8.312973,8.144947,5.678881,9.337967,8.653305,6.701519,6.425705,7.184148,7.16092,9.753645,10.62435,9.287396,8.50321,4.95303,7.205742,10.49902,11.57395,4.913665,7.455749,10.37191,9.202304,10.17601,6.11628,8.51865,4.713652,6.907715,8.895971,6.385005,8.911001,9.767118,7.645933,7.716875,10.26567,6.116857,5.702421,10.71301,10.27778,8.724562,9.754176,10.56983,8.380342,5.50689,SONFH
GSM3507276,5.418392,6.598694,8.336605,7.71712,7.035659,8.930415,8.638156,7.37997,9.435194,8.834423,9.751409,10.45323,7.751931,7.800686,8.124496,7.877707,9.324269,10.14445,6.877406,9.321361,9.422518,7.245526,9.19674,12.05188,6.577765,8.149873,5.882713,7.8138,6.620412,7.60366,11.6446,6.925525,11.16918,8.531436,7.561702,11.90971,5.592708,6.961359,8.097174,7.715725,10.2908,7.09376,5.958004,6.25694,7.834649,8.190302,8.669685,5.872683,7.837851,8.510858,8.098037,8.53235,8.57724,8.358389,7.866203,8.5555,8.102684,8.847261,8.562274,8.229388,6.138412,9.365327,8.461432,6.830878,6.63334,7.075771,6.868549,9.700758,10.62135,9.816971,8.487464,6.139383,6.903296,10.64771,11.13874,5.021258,7.61706,10.21559,9.261396,10.16048,6.085119,8.525568,4.998287,7.411234,8.152634,6.430621,9.402842,9.679594,7.302738,8.118515,10.78522,6.825799,5.767219,10.71791,10.30367,8.704512,9.918595,11.27082,8.267297,5.661321,SONFH
GSM3507277,5.649556,7.19782,9.352964,7.825678,7.300068,9.545881,9.079233,8.354503,9.916922,9.135998,9.25382,11.31275,8.148071,8.182566,8.510287,9.181843,9.634972,10.99951,7.776548,9.716339,10.07975,8.193325,8.955919,12.27429,7.211108,8.524621,6.403181,8.416473,6.842283,7.378434,12.46955,7.521298,11.70651,9.034662,6.97206,12.49259,5.650932,7.55017,8.514277,8.420918,10.81736,7.843693,6.571863,6.33178,8.664245,8.506153,9.446583,6.841917,8.400286,9.095143,8.473783,8.900438,8.286682,9.048475,8.104545,8.946616,8.238102,9.678309,8.645138,9.286336,6.7381,9.849554,8.44952,7.328245,6.474392,7.472487,7.04548,10.63157,10.77516,9.65675,8.444268,6.52282,8.034753,10.62199,11.56645,4.826178,7.796363,10.6425,9.644754,10.525,6.881618,8.518061,5.472062,7.676103,8.480893,7.538216,10.11031,10.1274,7.83032,8.940627,11.47049,6.96842,6.900605,11.4049,10.9883,9.089069,10.94065,12.2594,8.81036,5.485393,SONFH
GSM3507278,5.456977,6.484151,8.811154,7.553797,6.99749,8.945181,9.39563,7.488577,9.536626,9.43455,9.807877,10.61048,8.07526,8.07264,8.44327,8.504248,9.481197,10.52584,7.358015,9.680351,9.700502,7.597561,9.338272,11.84414,6.517054,8.140613,6.048333,7.821483,6.453114,7.675591,11.83847,6.656845,11.32926,8.44893,6.878047,12.21467,5.760171,7.003131,8.236959,7.417724,10.2563,6.981301,6.298502,6.452636,8.369686,8.636669,9.006711,5.535732,7.956927,8.612708,8.480746,8.871338,8.462996,8.391811,8.450159,8.499239,8.159143,9.075571,8.60008,8.018158,6.668963,9.771798,8.809038,6.992783,6.604878,7.266973,7.137883,9.669418,10.73658,9.70985,8.614393,5.347158,7.170385,10.70445,11.41133,5.240477,7.46389,10.32233,9.420942,10.07096,6.145334,8.711914,5.06039,7.068398,8.608289,6.705987,9.296666,9.553349,7.977225,8.182436,10.78867,7.128801,5.983451,10.68279,10.15709,8.777075,10.34839,11.3347,8.581821,5.612907,SONFH
GSM3507279,5.263831,6.426069,8.682186,7.843687,7.343782,9.397043,8.939492,7.788872,9.888657,8.916622,9.722759,11.10463,8.405735,8.309051,8.538777,8.876773,9.74091,10.60748,6.822423,9.641094,9.793252,7.683248,9.542551,12.12954,6.82212,8.599463,6.235087,7.994362,6.815246,7.937464,12.48028,6.753538,11.74442,8.702675,7.521727,12.54735,5.814193,6.95002,8.780422,7.806748,10.83659,7.101048,6.316838,6.228799,8.275211,8.333355,9.205881,6.04865,8.27137,9.045863,8.314068,8.777531,8.546771,8.588696,7.957866,8.611724,8.284143,9.136332,8.656954,8.445591,6.824977,9.820253,8.925805,7.043097,6.640534,7.242448,7.173704,10.25242,11.0117,9.96963,8.462848,6.459388,7.593726,10.91768,11.42715,5.309935,8.307364,10.84183,9.550429,10.33891,6.613204,9.19762,5.256769,7.70497,8.539732,6.634482,9.797214,10.15063,7.525613,8.435418,10.65876,7.820812,6.058526,11.07397,10.66797,9.522817,10.22481,11.63837,8.446788,5.967552,SONFH
GSM3507280,5.429572,6.705653,8.618103,8.064252,7.368961,9.375684,8.762949,7.624196,9.50627,8.82529,9.82297,10.95996,7.894695,8.117762,8.213793,8.15533,9.481478,10.54762,6.481876,9.390923,9.615915,7.626872,9.302404,12.1456,6.638634,8.158633,6.031947,7.659221,6.575224,7.719137,12.15562,7.428722,11.39012,8.944917,7.93437,12.36424,5.507611,7.505234,8.452183,8.202213,10.57377,7.83145,6.300928,6.41881,8.132782,8.508869,9.092013,6.007155,8.233274,8.873915,8.297702,8.684879,8.689465,8.41551,8.428326,8.873056,8.275387,9.196138,8.67225,8.580481,6.792451,9.660478,8.752386,6.994845,6.357352,7.407433,7.021377,10.10273,10.91748,9.982308,8.299607,5.926153,7.34217,10.7952,11.31188,4.858923,7.935784,10.59015,8.933203,10.65813,6.744441,9.200633,5.0256,7.315176,7.956032,6.638912,9.472163,9.899269,7.891924,8.475516,10.31292,7.594748,5.565012,10.92717,10.49194,9.018803,10.3065,11.46872,8.589124,5.506662,SONFH
GSM3507281,5.162147,6.560495,8.275493,7.446007,7.288338,9.040344,8.586523,7.320574,9.692973,8.639132,9.990939,10.40421,7.628375,8.354952,7.355778,8.230528,9.028842,10.29362,6.809864,8.684966,9.901877,7.533906,9.054497,12.37866,6.651112,8.193595,6.472098,7.734358,6.446053,7.591615,11.42315,7.352738,11.44465,9.109251,7.260531,11.64317,5.241704,7.89924,7.827946,8.004615,9.554283,7.302661,6.231297,6.102063,7.970509,8.370115,8.932184,5.568958,8.251965,8.088218,7.864091,8.645818,8.314568,8.278658,8.032614,8.538173,7.660706,8.214417,8.429337,8.5968,5.211841,8.964179,8.45359,7.190454,6.784077,7.133764,6.336461,9.706522,10.59651,8.70795,8.944379,5.203296,6.702561,10.595,11.2997,4.701736,7.837824,10.37327,9.560264,10.17692,6.047907,8.133039,4.387753,6.710338,9.22372,6.953883,9.159695,9.966353,7.477717,8.195963,10.28642,5.94806,5.637043,10.93376,10.48978,9.169036,10.02371,11.46749,8.195088,5.239172,SONFH
GSM3507282,5.240535,6.522195,8.296403,7.322193,6.742209,8.554739,8.632273,6.950214,8.911393,8.650764,9.488438,10.0039,7.426152,7.842055,7.584194,7.773674,8.898472,9.798004,6.865137,8.817302,9.304592,6.796875,8.759289,11.98598,5.893764,7.895845,5.76807,7.424566,6.569019,7.164353,11.76954,6.996388,11.16058,9.093063,7.77991,11.91546,5.279548,7.551092,8.289924,8.165313,10.61002,7.554763,6.154831,6.475053,7.834034,8.29322,8.869864,4.822052,7.773196,8.548834,7.870487,8.204582,8.705452,7.721129,8.287918,8.727996,7.746912,8.042726,8.312381,8.134942,4.88453,8.968364,8.480338,6.901563,6.408203,7.12231,6.892975,9.630611,10.62534,8.723925,8.383872,5.283329,6.790727,10.52186,11.10093,4.962813,7.260646,10.24946,9.067685,10.02902,5.892217,8.667538,4.794987,6.793783,8.473685,6.404697,8.369621,9.586128,7.965505,7.429932,9.481793,6.368365,5.378707,10.56924,10.17079,8.652033,9.600689,10.41398,8.031895,5.337817,SONFH
GSM3507283,5.583212,6.623904,8.877979,7.6353,6.883998,9.514063,9.400056,7.789629,9.633291,9.364241,9.377012,11.70054,7.982773,8.084345,8.377189,8.980062,9.955938,10.65541,6.949495,9.495227,9.916902,8.064221,9.452465,12.34107,6.723371,8.680229,6.215839,8.104949,7.132759,7.514031,12.52923,6.991182,11.4604,9.303071,7.871047,12.57233,5.376405,7.556039,8.68047,8.326699,11.10855,8.101739,6.451752,6.297312,8.059182,8.122078,9.292198,5.841681,8.557554,8.908013,8.137745,8.727782,8.319489,8.501736,8.690808,8.797462,8.689514,9.376881,8.504401,8.899682,6.066855,9.815012,8.712757,7.049165,6.326788,7.268666,7.416183,10.63434,11.04768,9.733406,8.317272,7.066746,8.08283,10.91269,11.51067,5.032739,7.869675,10.81507,9.592278,10.81891,6.831687,9.059261,5.804659,7.984628,8.12053,7.61303,9.762114,10.13874,8.324791,8.809131,11.20528,7.703086,6.380346,11.17603,10.76015,9.116758,10.84267,12.37974,8.496717,6.382686,SONFH
GSM3507284,5.413785,6.798763,8.680022,7.564492,7.192991,9.186961,8.347075,7.234765,9.326451,8.35425,9.693087,10.26385,7.690115,7.924348,7.641501,8.255359,8.940854,9.930681,6.468427,8.949031,9.70138,7.330039,9.287863,11.87988,6.600683,8.19954,6.251595,7.739165,6.713708,7.319889,11.62333,7.14706,11.29106,8.660223,7.306736,11.76697,5.420137,6.993912,8.192997,7.673964,10.34039,7.259286,6.276237,6.304243,8.11051,8.4279,9.006639,5.9745,8.056359,8.513162,7.932226,8.472554,8.541736,8.257658,8.254176,8.454239,7.962394,8.877132,8.65638,8.250975,6.146165,8.980029,8.288178,7.086949,6.863669,7.25309,6.783097,9.788383,10.55759,9.075109,8.807965,5.580379,6.922953,10.46479,10.90856,5.140974,7.489996,10.43421,9.327979,9.972525,6.62027,8.505157,5.066689,7.018193,8.185098,6.566463,8.892376,9.561217,7.671714,8.343186,10.59487,6.568267,6.09176,10.57249,10.17374,8.891117,9.824553,11.04833,8.072421,5.462884,SONFH
GSM3507285,5.427166,7.137445,9.315376,7.57985,7.11447,9.192587,9.279139,7.838997,9.579169,9.278931,9.591762,11.23808,8.286321,8.041165,8.561227,8.860728,10.05681,10.99917,7.382686,9.656127,10.15411,8.201855,9.202905,12.17931,6.566364,8.404633,6.013947,8.074497,6.802451,7.420741,12.22443,6.744093,11.54859,9.149544,7.489505,12.34694,5.527706,7.177542,8.659386,8.005456,10.68057,7.992226,6.410071,6.438293,8.542768,8.195611,9.371704,6.133303,8.211101,9.210478,8.534112,8.92489,8.32929,8.711563,8.217448,8.494604,8.779429,9.382559,8.690309,8.851265,5.969129,10.11304,7.887221,7.377625,6.711679,7.218955,7.555805,10.40284,10.93219,9.698816,8.334892,7.542799,7.307635,11.08667,11.64102,4.82688,8.171237,10.7241,9.831645,10.54925,6.305596,8.661276,5.756989,8.012837,8.168898,7.462525,9.67248,10.06512,8.107713,9.452385,11.56573,7.49892,7.017499,11.12526,10.65298,9.090694,11.1523,12.27552,9.066138,6.446441,SONFH
GSM3507286,5.102411,6.535506,8.451671,7.573032,6.587753,8.483303,8.602449,6.892175,9.040366,8.652693,9.210496,10.33962,7.661438,7.77181,7.734849,8.258197,8.849335,10.08983,6.597893,8.899456,9.347351,7.239399,8.959335,12.42439,5.723628,8.345736,5.665472,7.551138,6.64374,7.48885,12.06725,7.328255,10.91521,9.328614,8.176222,12.18774,5.449172,7.757391,8.43803,8.495146,10.9875,8.079754,5.978419,6.284384,7.860987,7.798902,8.77487,5.537183,7.78792,8.727204,7.687003,8.515708,8.771656,7.8836,8.177471,8.719881,7.847913,8.609005,8.273319,8.429136,5.477857,9.013267,8.535064,6.687174,6.258254,7.210341,6.907648,9.726011,10.57242,9.206824,8.154421,5.910118,6.696576,10.38446,11.06146,4.814425,7.563263,10.31382,9.143549,10.45901,6.446299,8.860064,5.054088,7.18615,8.242566,6.334407,8.871006,9.685686,7.693995,8.183538,10.02357,6.887633,5.960482,10.40254,9.997854,8.876856,9.552879,10.792,8.262012,5.516923,SONFH
GSM3507287,5.529147,6.994531,8.995129,7.761423,6.973163,8.983332,9.348787,7.690426,9.609114,9.348579,10.05273,10.99579,8.854239,8.156863,8.322375,8.430984,9.450123,10.847,7.874031,9.455592,10.19761,7.99047,9.454992,12.52345,6.283368,8.624274,6.233322,7.604272,6.811939,7.785425,12.61659,7.142303,11.44706,9.831141,8.707719,12.68796,5.663309,7.985096,8.73215,8.642385,11.36042,8.475965,6.101607,6.566199,8.514009,8.440766,9.333704,5.76381,8.426463,9.000769,8.591357,9.086702,9.037436,8.506187,8.36292,9.114122,8.068569,8.989175,8.720091,8.652617,5.719343,10.04376,9.312114,6.966847,6.485346,7.370143,7.243998,10.37502,11.0202,9.536649,8.532271,6.02086,6.983235,10.96656,11.75032,4.748991,8.061907,10.83018,9.906609,11.37875,7.024658,9.168979,5.326183,7.785764,8.632811,6.449984,9.805979,10.08966,8.592996,8.661664,10.60004,7.360344,7.060076,10.95877,10.48532,9.317966,10.65082,11.51937,9.239788,5.932687,SONFH
GSM3507288,5.156419,6.545458,8.400578,7.759274,7.096752,8.684196,8.881685,7.341142,9.197777,8.849556,9.443813,10.38604,7.679653,8.011117,7.78442,8.226022,9.023656,10.28909,6.29507,8.897948,9.367404,7.303735,8.876504,12.32425,6.244029,8.377335,6.071813,7.540648,6.549794,7.463907,12.07598,7.453866,11.14277,9.45326,8.041358,12.20172,5.389453,8.409983,8.304099,9.069045,10.72891,8.579622,5.989863,6.218558,7.961565,7.798077,9.07456,5.565613,8.179592,8.784825,7.753673,8.243872,8.942346,8.208727,7.899477,8.977935,8.063374,8.526983,8.377618,8.214401,5.319784,9.107324,8.87967,6.756155,6.370163,7.329526,6.970516,10.18209,10.62947,9.594049,8.293634,5.951613,6.66715,10.60002,11.31396,4.76418,7.555888,10.43211,8.995088,10.57903,6.771784,8.906223,5.143507,7.547418,8.69436,6.353498,9.133883,9.934024,7.465229,8.04765,9.868513,6.451505,5.597722,10.80756,10.42216,8.678846,9.467119,10.78913,8.178707,5.138961,SONFH
GSM3507289,5.244143,6.931307,8.770615,7.574425,7.307551,9.057671,9.087919,7.486176,9.538393,8.963315,10.27243,10.62522,8.239216,8.193145,8.155473,8.55759,9.350282,10.32901,7.061564,9.40664,9.987228,7.640235,9.336412,12.1863,6.252391,8.361276,5.997509,7.712974,6.77797,7.429005,12.09936,6.690718,11.33707,8.826644,7.791588,12.24632,5.679951,7.103921,8.264656,7.830232,10.56939,7.411874,6.295089,6.428999,8.460538,8.88866,9.074556,5.87126,8.063033,8.920794,8.281235,8.911264,8.84165,8.325305,8.535567,8.580741,8.083044,9.281377,8.871098,8.036119,6.273118,9.717013,9.182872,7.204065,7.32971,7.555858,7.326559,10.01092,11.06553,9.34632,8.909033,5.861239,6.93009,10.97272,11.38776,5.199244,7.949379,10.65052,9.606902,10.48702,6.735597,8.916524,5.026772,7.286119,8.583877,6.560019,9.059343,9.598526,8.134583,8.695907,10.41393,6.888376,5.808861,10.88063,10.41672,9.297843,10.38599,11.03477,8.664191,5.694953,SONFH
GSM3507290,5.158492,6.436567,7.771338,7.442562,7.082877,8.962521,8.59947,6.904305,9.078086,8.605165,9.462764,9.85333,7.359972,7.960117,7.515485,8.231421,8.842853,9.654705,6.583238,8.809145,9.412979,7.003403,8.60873,11.86851,6.230703,7.813507,5.759645,7.559513,6.757905,7.316026,11.35039,6.869144,11.1721,8.494639,7.262616,11.47974,5.386486,6.91552,7.921823,7.8235,9.943081,7.181216,5.991033,5.87246,7.824537,7.99165,8.392097,5.751952,7.298249,8.101566,7.881225,8.266435,8.242682,7.876486,7.873832,8.319985,7.242622,8.360058,8.109725,7.844151,5.351821,8.829152,7.840757,6.594249,6.651105,7.254412,6.62796,9.612728,10.21218,8.744044,8.367981,5.361784,6.493948,10.16972,10.66064,5.078995,6.902808,9.938331,9.083776,9.817631,6.231989,8.153092,4.580553,6.757939,8.003289,6.652386,8.851972,9.640738,7.19914,8.078365,9.843618,6.226852,5.537359,10.28151,9.892029,8.560122,9.677243,10.81696,7.825734,5.114608,SONFH
